"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00479190","WHITEWATER, WI US","1979-03-15",,,"0.00","0.0","4.0","27","8","24",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-16",,,"0.00","0.0","3.0","42","15","38",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-17",,,"0.10","0.0","2.0","41","31","36",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-18",,,"0.00","0.0","0.0","58","36","56",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-19",,,"0.12","0.0","0.0","56","41","52",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-20",,,"0.00","0.0","0.0","52","35","45",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-21",,,"0.00","0.0","0.0","46","31","42",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-22",,,"0.00","0.0","0.0","60","29","57",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-23",,,"0.16","0.0","0.0","58","44","53",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-24",,,"0.58","3.0","3.0","53","19","20",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-25",,,"0.03","0.5","3.0","25","16","22",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-26",,,"0.00","0.0","1.0","31","10","29",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-27",,,"0.00","0.0","1.0","36","12","33",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-28",,,"0.00","0.0","0.0","42","27","41",,,,,,
"USC00479190","WHITEWATER, WI US","1979-03-29",,,"0.47","0.0","0.0","48","36","38",,"    1",,,,
"USC00479190","WHITEWATER, WI US","1979-03-30",,,"1.03","0.0","0.0","62","36","55",,"    1",,,,
"USC00479190","WHITEWATER, WI US","1979-03-31",,,"0.00","0.0","0.0","56","35","35",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-01",,,"0.00","0.0","0.0","37","29","34",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-02",,,"0.43","0.0","0.0","35","30","34",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-03",,,"0.00","0.0","0.0","48","22","41",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-04",,,"0.00","0.0","0.0","48","32","39",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-05",,,"0.28","0.0","0.0","45","33","37",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-06",,,"0.00","0.0","0.0","37","14","32",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-07",,,"0.00","0.0","0.0","38","20","35",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-08",,,"0.00","0.0","0.0","37","30","35",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-09",,,"0.00","0.0","0.0","39","25","35",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-10",,,"0.00","0.0","0.0","46","22","45",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-11",,,"0.01","0.0","0.0","45","30","36",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-12",,,"0.73","0.0","0.0","72","34","70",,"    1",,,,
"USC00479190","WHITEWATER, WI US","1979-04-13",,,"0.00","0.0","0.0","71","39","53",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-14",,,"0.00","0.0","0.0","55","30","50",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-15",,,"0.00","0.0","0.0","52","37","51",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-16",,,"0.00","0.0","0.0","57","29","56",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-17",,,"0.00","0.0","0.0","62","32","60",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-18",,,"0.00","0.0","0.0","62","32","59",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-19",,,"0.00","0.0","0.0","67","34","63",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-20",,,"0.09","0.0","0.0","66","51","57",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-21",,,"0.15","0.0","0.0","67","47","55",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-22",,,"0.00","0.0","0.0","72","38","70",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-23",,,"0.00","0.0","0.0","74","40","73",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-24",,,"0.01","0.0","0.0","73","52","61",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-25",,,"0.58","0.0","0.0","73","59","68",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-26",,,"0.98","0.0","0.0","69","37","54",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-27",,,"0.42","0.0","0.0","56","34","37",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-28",,,"0.34","0.0","0.0","51","33","50",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-29",,,"0.16","0.0","0.0","50","35","41",,,,,,
"USC00479190","WHITEWATER, WI US","1979-04-30",,,"0.10","0.0","0.0","44","35","43",,,,,,
"USC00479190","WHITEWATER, WI US","1979-05-01",,,"0.00","0.0","0.0","55","28","54",,,,,,
