STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
723650,23050,1980,1,1,29.5,24,20.3,24,1023.9,24,841.2,24,27.3,24,7,24,10.1,999.9,43.0*,15.1,0.00C,1.2,0
723650,23050,1980,1,2,32.5,24,24.1,24,1019.7,24,838.4,24,32.3,24,11.9,24,15.9,999.9,43,17.100000000000001,0.00D,0.8,0
723650,23050,1980,1,3,29.1,24,20.7,24,1025.1,24,842.3,24,26.9,24,7.1,24,13,999.9,37.9,21.9,0.00D,999.9,0
723650,23050,1980,1,4,32.2,24,18.5,24,1022.8,24,840.6,24,31.9,24,6.8,24,11.1,999.9,48.9*,21.9,0.00D,999.9,0
723650,23050,1980,1,5,33.3,24,20.8,24,1022.1,24,840.6,24,32.3,24,5.6,24,12,999.9,52.0*,21.9,0.00D,999.9,0
723650,23050,1980,1,6,34.8,24,21,24,1015.7,24,835.6,24,34.6,24,4.1,24,8,999.9,53.1,21.9,0.00D,999.9,0
723650,23050,1980,1,7,41,24,25.2,24,1010.1,24,832.1,24,34.6,24,8,24,15,23.9,46,24.1,0.00D,999.9,10000
723650,23050,1980,1,8,40.3,24,28.5,24,1013,24,834.5,24,35,24,6.1,24,14,999.9,54.0*,30.0*,0.00C,999.9,0
723650,23050,1980,1,9,36,24,27.6,24,1017.6,24,837.7,24,22.6,24,4.7,24,10.1,999.9,55.9,26.1,0.00D,999.9,10000
723650,23050,1980,1,10,42.9,24,29.1,24,1008.7,24,830.9,24,30.9,24,9.6,24,25.1,36.9,54.0*,26.1,0.00D,999.9,0
723650,23050,1980,1,11,42.2,24,32.5,24,1013.9,24,836,24,26.1,20,9,24,20,26.8,55,34,0.00D,999.9,110000
723650,23050,1980,1,12,35.8,24,33.3,24,1021.1,24,840.3,24,5.1,24,4.9,24,12,999.9,46.9*,29.8,0.39G,999.9,110000
723650,23050,1980,1,13,46.3,24,38.3,24,1016.4,24,838,24,26.7,24,4.2,24,8,999.9,62.1*,30,0.00G,999.9,1e+05
723650,23050,1980,1,14,45.7,24,37.6,24,1015,24,837.3,24,30.7,24,4.7,24,8,999.9,62.1,34,0.00C,999.9,0
723650,23050,1980,1,15,46.2,24,39.6,24,1013,24,835.7,24,24.2,24,5.1,24,15.9,999.9,55.9,36,0.31G,999.9,110000
723650,23050,1980,1,16,42.7,24,32.8,24,1016,24,837.5,24,33.6,24,2.9,24,12,999.9,57.9,34,0.00G,999.9,10000
723650,23050,1980,1,17,43.2,24,31.7,24,1015.6,24,837.2,24,34,24,2.3,24,8,999.9,55.9*,34,0.00D,999.9,1000
723650,23050,1980,1,18,41.9,24,33.7,24,1011.5,24,833.7,24,18.8,24,3.6,24,10.1,999.9,57.9,34,0.00D,999.9,110000
723650,23050,1980,1,19,40,24,33.2,24,1013.6,24,835,24,29.2,24,11,24,28,35.9,50.0*,32,0.08G,999.9,10000
723650,23050,1980,1,20,38.2,24,26.4,24,1020.8,24,840.6,24,30.2,24,16.9,24,28.9,37.9,50,32,0.00G,999.9,0
723650,23050,1980,1,21,38,24,27.4,24,1019,24,839,24,34.6,24,5.7,24,11.1,999.9,55.9*,27,0.00D,999.9,0
723650,23050,1980,1,22,39.2,24,21.9,24,1016.5,24,837.4,24,28.4,24,13.6,24,27,37.9,55.9,27,0.00D,999.9,1000
723650,23050,1980,1,23,32.1,24,21.7,24,1026.9,24,844.5,24,29.6,24,3,24,8,999.9,46.0*,20.8,0.00D,999.9,0
723650,23050,1980,1,24,36.5,24,19.3,24,1020.8,24,840,24,34.2,24,6.3,24,12,999.9,51.1*,20.8,0.00D,999.9,0
723650,23050,1980,1,25,38.9,24,21.4,24,1008.1,24,830.1,24,34.8,24,6.3,24,13,999.9,54.0*,21,0.00D,999.9,0
723650,23050,1980,1,26,40.9,24,20.5,24,1006.4,24,828.9,24,34.8,24,9,24,17.1,22.9,59.0*,21.9,0.00D,999.9,0
723650,23050,1980,1,27,41.4,24,20.1,24,1009.7,24,832.1,24,34.8,24,7.8,24,15,999.9,59,27,0.00D,999.9,0
723650,23050,1980,1,28,41.3,24,23.5,24,1008.3,24,830.9,24,34.4,24,6.7,24,13,999.9,55,28,0.00D,999.9,0
723650,23050,1980,1,29,44.6,24,27.4,24,1008.6,24,831.5,24,31.3,24,9.9,24,24.1,30.9,57.0*,30.9,0.00D,999.9,0
723650,23050,1980,1,30,47.6,24,36.1,24,1011.4,24,834.7,24,32.1,24,8.2,24,17.1,25.8,59,36,0.04D,999.9,10000
723650,23050,1980,1,31,42.2,24,28.8,24,1023.5,24,843.6,24,33.3,24,7.6,24,12,999.9,54.0*,32,0.04G,999.9,0
723650,23050,1980,2,1,40.7,24,25.9,24,1023.8,24,843.5,24,33.6,24,5.8,24,13,999.9,57.9*,25,0.00G,999.9,0
723650,23050,1980,2,2,43.7,24,25.7,24,1022.8,24,843.1,24,36,24,8.5,24,20,999.9,60.1*,25,0.00D,999.9,0
723650,23050,1980,2,3,44.3,24,24,24,1025,24,845.2,24,35.4,24,6.1,24,14,999.9,62.1*,27,0.00D,999.9,0
723650,23050,1980,2,4,45.7,24,23.6,24,1019.8,24,840.9,24,37.3,24,5.4,24,18.1,999.9,64.9*,27,0.00D,999.9,0
723650,23050,1980,2,5,45.3,24,22.4,24,1022.4,24,843.5,24,36.5,24,8,24,15.9,999.9,66,28.9,0.00D,999.9,0
723650,23050,1980,2,6,41.7,24,19.8,24,1020.4,24,840.8,24,37.3,24,4.6,24,10.1,999.9,62.1*,25,0.00D,999.9,0
723650,23050,1980,2,7,47.2,24,27.1,24,1003.4,24,828,24,31.8,24,7.5,24,22,31.9,63,25,0.00D,999.9,111000
723650,23050,1980,2,8,30.9,24,19.4,24,1015.2,24,835.2,24,26.7,24,18.8,24,26,34,39.9*,26.1,0.08G,999.9,1000
723650,23050,1980,2,9,25.3,24,15.9,24,1024.5,24,841,24,23.4,24,10.2,24,20,24.9,37.0*,18,0.02G,999.9,1000
723650,23050,1980,2,10,29.5,24,17.9,24,1022.6,24,839.9,24,24,24,3.4,24,8,999.9,50.0*,16.899999999999999,0.00G,999.9,0
723650,23050,1980,2,11,35.1,24,15.9,24,1015.7,24,835.4,24,31.7,24,3.9,24,6,999.9,52.0*,17.100000000000001,0.00D,999.9,0
723650,23050,1980,2,12,37.1,24,15,24,1015.4,24,835.7,24,38.3,24,6.4,24,11.1,999.9,55.0*,21.9,0.00D,999.9,0
723650,23050,1980,2,13,40,24,20.6,24,1014.4,24,835.5,24,36,24,6.6,24,10.1,999.9,57,21.9,0.00D,999.9,0
723650,23050,1980,2,14,46.7,24,36,24,1012.3,24,834.9,24,19.4,24,9.3,24,19,24.9,59,42.1*,0.08D,999.9,10000
723650,23050,1980,2,15,46.3,24,39.9,24,1013.5,24,836.2,24,16.8,24,8.9,24,18.1,999.9,53.1,41.9,0.20G,999.9,110000
723650,23050,1980,2,16,45.4,24,36.7,24,1014.6,24,836.8,24,27.8,24,7,24,11.1,999.9,57.9*,39,0.16G,999.9,10000
723650,23050,1980,2,17,42.7,24,34.1,24,1010.9,24,833.5,24,19.1,24,4.9,24,11.1,999.9,57.9,37.9,0.00G,999.9,10000
723650,23050,1980,2,18,48,24,36.9,24,1009.5,24,832.6,24,28.2,24,8.9,24,20,31.9,64.9*,36.9,0.08G,999.9,0
723650,23050,1980,2,19,52,24,34.2,24,1008.6,24,833.1,24,32.3,24,12.2,24,28,36.9,66,37,0.00G,999.9,0
723650,23050,1980,2,20,46.3,24,34.6,24,1005.3,24,829.6,24,33.7,24,10.3,24,28,37.9,62.1,37.9,0.04G,999.9,10010
723650,23050,1980,2,21,42.2,24,28.3,24,1011.1,24,833.4,24,35.6,24,10.8,24,25.1,32.8,54,32,0.01G,999.9,0
723650,23050,1980,2,22,47,24,29.7,24,1012.3,24,835.1,24,37.3,24,9.5,24,15.9,19.8,57.9*,32,0.00G,999.9,10000
723650,23050,1980,2,23,43,24,23.9,24,1017.1,24,838.5,24,36.9,24,7,24,15,24.9,61.0*,27.9,0.00D,999.9,0
723650,23050,1980,2,24,45,24,20,24,1021.2,24,842.2,24,37.3,24,10,24,19,23.9,63,28,0.00D,999.9,0
723650,23050,1980,2,25,41.9,24,15.3,24,1027,24,846.5,24,39.1,24,8,24,17.1,999.9,60.1*,28.9,0.00D,999.9,0
723650,23050,1980,2,26,46.2,24,14.5,24,1025,24,845.2,24,39.4,24,7.5,24,13,999.9,66.9*,27.9,0.00D,999.9,0
723650,23050,1980,2,27,49.3,24,18.2,24,1022.9,24,844.3,24,37.3,24,6.6,24,13,999.9,68.0*,27,0.00D,999.9,0
723650,23050,1980,2,28,53.4,24,17.9,24,1016.5,24,839.5,24,37.3,24,7,24,14,999.9,73.0*,27,0.00D,999.9,0
723650,23050,1980,2,29,52.4,24,17.6,24,1010.1,24,834.4,24,37.3,24,10,24,22,25.8,73.900000000000006,35.1,0.00D,999.9,0
723650,23050,1980,3,1,42.4,24,17.8,24,1018.5,24,840.2,24,37.3,24,11.8,24,20,22,64.900000000000006,27.9,0.00D,999.9,0
723650,23050,1980,3,2,37.8,24,17.1,24,1023.5,24,842.6,24,35.6,24,7.7,24,14,999.9,57.0*,23.9,0.00D,999.9,0
723650,23050,1980,3,3,44.9,24,19,24,1011.7,24,833.9,24,31.2,24,10.3,24,30.1,35,64.9*,24.1,0.00C,999.9,0
723650,23050,1980,3,4,46.2,24,26.4,24,1007.2,24,830.8,24,36.9,24,13,24,22.9,32.8,66.900000000000006,33.1,0.00D,999.9,10000
723650,23050,1980,3,5,42.1,24,26.7,24,1014.6,24,836.4,24,37.3,24,6.9,24,19,28,61.0*,27,0.00D,999.9,0
723650,23050,1980,3,6,49.5,24,21.8,24,1009.2,24,832.8,24,37.3,24,7.7,24,17.1,22,66.0*,27,0.00D,999.9,0
723650,23050,1980,3,7,49.6,24,16.4,24,1005.4,24,830.2,24,36.5,24,14.1,24,22,34,68,37,0.00D,999.9,0
723650,23050,1980,3,8,43.1,24,17.3,24,1014.7,24,836.6,24,37.3,24,8.5,24,22,30.9,59,25,0.00D,999.9,0
723650,23050,1980,3,9,45,24,18.4,24,1016.2,24,837.8,24,37.3,24,7.3,24,13,25.8,61.0*,25,0.00D,999.9,0
723650,23050,1980,3,10,45.2,24,16.4,24,1016.3,24,838.3,24,37.3,24,9.4,24,20,999.9,63,28.9,0.00D,999.9,0
723650,23050,1980,3,11,49.1,24,26.9,24,1007.3,24,831.2,24,32.7,24,10,24,27,999.9,57.9,32,0.00C,999.9,10000
723650,23050,1980,3,12,48.2,24,26.3,24,1005.9,24,830.2,24,37.3,24,16.7,24,28,36.9,59,37.9,0.00D,999.9,0
723650,23050,1980,3,13,42.6,24,11.1,24,1016.6,24,838.1,24,37.3,24,8.1,24,18.1,24.9,62.1*,23.9,0.00D,999.9,0
723650,23050,1980,3,14,48.8,24,17,24,1015.8,24,838,24,35.4,24,5.6,24,11.1,999.9,70.0*,24.1,0.00D,999.9,0
723650,23050,1980,3,15,55.2,24,14.6,24,1010.2,24,834.8,24,37.3,24,9.3,24,22,29.9,71.099999999999994,30.9,0.00C,999.9,0
723650,23050,1980,3,16,52.6,24,14.8,24,1006.4,24,831.4,24,31.7,24,12.4,24,28,37.9,70,35.1,0.00D,999.9,0
723650,23050,1980,3,17,37.3,24,7.8,24,1021.9,24,842,24,35.6,24,10.2,24,25.1,28,64,23,0.00D,999.9,0
723650,23050,1980,3,18,41.1,24,11.5,24,1017.7,24,838.1,24,40.2,24,7.3,24,15.9,21,64.9*,23,0.00D,999.9,0
723650,23050,1980,3,19,49.7,24,17.9,24,1006.3,24,830.6,24,37.9,24,10.4,24,17.1,31.9,64.900000000000006,23,0.00D,999.9,11000
723650,23050,1980,3,20,42.6,24,29.9,24,1014.8,24,836.5,24,35.8,24,7.4,24,15,999.9,66.0*,29.8,0.08G,999.9,10000
723650,23050,1980,3,21,52,24,17.3,24,1012.9,24,836.3,24,40.6,24,9.9,24,22,28.9,72.0*,30,0.00G,999.9,0
723650,23050,1980,3,22,55.7,24,6.3,24,1001.2,24,827.5,24,34.4,24,13.9,24,28,35.9,72,33.1,0.00D,999.9,0
723650,23050,1980,3,23,45.2,24,17.8,24,1004.5,24,829.1,24,35,24,12.3,24,22,30.9,70,32.9,0.00C,999.9,0
723650,23050,1980,3,24,44.8,24,19.4,24,1011.3,24,833.9,24,39.6,24,8.5,24,17.1,23.9,60.1*,27.9,0.00C,999.9,0
723650,23050,1980,3,25,49.2,24,20.2,24,1005.8,24,830,24,37.1,24,12,24,22,28.9,61,28,0.00C,999.9,0
723650,23050,1980,3,26,47.6,24,20.7,24,1007.6,24,831.5,24,33.6,24,7.1,24,20,999.9,64,32,0.00D,999.9,0
