STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722190,13874,1980,1,1,39.5,24,36.9,24,1012.6,24,974.9,24,7.3,24,11.2,24,14,999.9,45,36,0.08G,999.9,111000
722190,13874,1980,1,2,39.1,24,31.1,24,1017,24,979.1,24,11.4,24,10.7,24,13,18.8,53.1*,28.9,0.00D,999.9,0
722190,13874,1980,1,3,45.2,24,31.7,24,1018.7,24,981,24,18.8,24,4.7,24,8,15.9,57.0*,28.9,0.00G,999.9,0
722190,13874,1980,1,4,44.5,24,37.1,24,1013.3,24,976,24,8.9,24,9,24,14,999.9,57.9,35.1,0.04G,999.9,110000
722190,13874,1980,1,5,34.9,24,29.3,24,1016.1,24,978.2,24,7,24,13.8,24,19,28.9,48,32.0*,0.04G,999.9,110000
722190,13874,1980,1,6,33.1,24,19.8,24,1022.2,24,983.8,24,14,24,10.2,24,15.9,23.9,45.0*,25,0.00G,999.9,0
722190,13874,1980,1,7,39.5,24,30.3,24,1019.3,24,981.3,24,19.1,24,8.3,24,15,16.9,50,25,0.00G,999.9,110000
722190,13874,1980,1,8,48,24,47.7,24,1018.3,24,980.8,24,1.8,24,5,24,11.1,999.9,52,30,0.24G,999.9,110000
722190,13874,1980,1,9,48.3,24,47.5,24,1022.2,24,984.5,24,2.1,24,7.1,24,12,999.9,54.0*,44.1,0.28G,999.9,110000
722190,13874,1980,1,10,45.8,24,42.2,24,1027.9,24,990.1,24,6.6,24,13,24,22,25.8,55.9,43,0.08G,999.9,1e+05
722190,13874,1980,1,11,43.8,24,41.7,24,1020.7,24,983,24,4.4,24,12.4,24,20,23.9,48.9,41,0.43G,999.9,110010
722190,13874,1980,1,12,41.1,24,29.5,24,1023.3,24,985.4,24,14.8,24,10.5,24,22,34,54,34,0.24G,999.9,1e+05
722190,13874,1980,1,13,41,24,23.6,24,1023.8,24,985.8,24,19.9,24,14.8,24,19,23.9,45,34,0.00G,999.9,110000
722190,13874,1980,1,14,40,24,39,24,1018.5,24,980.6,24,4.7,24,8.8,24,15.9,999.9,48,35.1,0.08G,999.9,110000
722190,13874,1980,1,15,47.9,24,43.7,24,1022.2,24,984.4,24,8.9,24,7.5,24,11.1,999.9,59.0*,35.1,0.00G,999.9,1e+05
722190,13874,1980,1,16,52.6,24,44.2,24,1022.8,24,985.3,24,16.6,24,7.8,24,15,999.9,64.9*,43,0.00G,999.9,110000
722190,13874,1980,1,17,55.1,24,54.1,24,1019.8,24,982.6,24,4.8,24,8.1,24,12,999.9,64.900000000000006,43,1.22G,999.9,110000
722190,13874,1980,1,18,59.6,24,55.3,24,1017,24,980,24,11.3,24,9.3,24,15,999.9,68.0*,53.1,2.28G,999.9,110000
722190,13874,1980,1,19,54,24,44,24,1023.7,24,986.3,24,25.3,24,5,24,8,999.9,69.099999999999994,39.9,0.16G,999.9,0
722190,13874,1980,1,20,54.1,24,37.6,24,1024.6,24,987.1,24,25.5,24,4.8,24,12,999.9,68,39.9,0.00G,999.9,0
722190,13874,1980,1,21,48.2,24,36.2,24,1021.3,24,983.8,24,18.7,24,6.3,24,8.9,999.9,69.099999999999994,41,0.00G,999.9,10000
722190,13874,1980,1,22,49.9,24,48.6,24,1012.5,24,975.3,24,6.2,24,7.5,24,18.1,23.9,57.0*,41,0.08G,999.9,110000
722190,13874,1980,1,23,42.1,24,34,24,1006.1,24,969,24,16.9,24,13.8,24,20,29.9,57,36.0*,0.43G,999.9,110000
722190,13874,1980,1,24,37.8,24,21.2,24,1013.1,24,975.3,24,26.5,24,12.3,24,19,22.9,55.9*,19.899999999999999,0.08G,999.9,0
722190,13874,1980,1,25,47.6,24,34.7,24,1009.6,24,972.3,24,19.3,24,12.2,24,15.9,17.9,55.9,28.9,0.00G,999.9,0
722190,13874,1980,1,26,48.2,24,45.1,24,1012.9,24,975.6,24,8.8,24,7,24,13,999.9,55,41,0.02G,999.9,110000
722190,13874,1980,1,27,45.8,24,45.4,24,1013.9,24,976.5,24,3,24,9.3,24,12,999.9,50,43,0.12G,999.9,110000
722190,13874,1980,1,28,44.6,24,37.1,24,1018.7,24,981.1,24,7.9,24,9,24,15,19.8,54.0*,34.9,0.01G,999.9,1e+05
722190,13874,1980,1,29,40.3,24,34.1,24,1022.1,24,984.2,24,9.8,24,8.1,24,14,999.9,54,34.9,0.00G,999.9,10000
722190,13874,1980,1,30,35.7,24,26.9,24,1023.4,24,985.1,24,11.8,24,8.7,24,14,999.9,46.9,29.8,0.00G,999.9,10000
722190,13874,1980,1,31,32.5,24,27.9,24,1018.7,24,980.6,24,8.7,24,13.8,24,24.1,29.9,43,27.9,0.39G,999.9,110000
722190,13874,1980,2,1,22.7,24,11,24,1026.5,24,987.7,24,21,24,16.3,24,22.9,30.9,35.1,14.9,0.24G,999.9,0
722190,13874,1980,2,2,23.4,24,10.2,24,1027.7,24,988.8,24,20.1,24,9.1,24,15,999.9,37.9*,14,0.00G,999.9,0
722190,13874,1980,2,3,31.4,24,13.1,24,1025.2,24,986.6,24,21.1,24,6.4,24,13,999.9,43.0*,14,0.00G,999.9,0
722190,13874,1980,2,4,33.8,24,14.5,24,1025,24,986.7,24,21.3,24,9.8,24,18.1,19.8,43,21,0.00D,999.9,0
722190,13874,1980,2,5,32.2,24,11.7,24,1026.8,24,988.3,24,19.1,24,6.8,24,10.1,22,41,25,0.00G,999.9,0
722190,13874,1980,2,6,34.8,24,30.1,24,1018.2,24,980.2,24,5.4,24,8,24,15.9,18.8,41,25,0.16G,999.9,111000
722190,13874,1980,2,7,31.9,24,20.2,24,1023.6,24,985.2,24,8.3,24,10.1,24,14,22.9,46.0*,23,0.01G,999.9,1e+05
