STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
723140,13881,1980,1,1,42.5,24,30,24,1010.9,24,983.1,24,8.4,24,7.3,24,10.1,999.9,46,36.9,0.01G,999.9,11000
723140,13881,1980,1,2,41.2,24,28.9,24,1013.5,24,985.6,24,10.8,24,4.8,24,8,999.9,57.0*,28.9,0.02G,999.9,0
723140,13881,1980,1,3,39.9,24,28.3,24,1018.9,24,990.8,24,10,24,4,24,6,999.9,57,28.9,0.00G,999.9,0
723140,13881,1980,1,4,36.8,24,29.6,24,1017.9,24,989.8,24,4.7,24,8.1,24,12,999.9,51.1,28.9,0.08D,999.9,111000
723140,13881,1980,1,5,35.3,24,29.3,24,1011.2,24,983,24,6.7,24,9,24,15,22,42.1,30.9,0.35G,999.9,111000
723140,13881,1980,1,6,30.8,24,18.5,24,1021.2,24,992.7,24,11.6,24,5.2,24,10.1,999.9,41.9,21.9,0.01G,999.9,0
723140,13881,1980,1,7,34,24,24.3,24,1020.9,24,992.5,24,9.7,24,8.2,24,15,999.9,42.1,21.9,0.00G,999.9,10000
723140,13881,1980,1,8,41.8,24,39.8,24,1019.9,24,991.9,24,3.2,24,4.9,24,10.1,999.9,45,26.1,0.12G,999.9,110000
723140,13881,1980,1,9,40.5,24,38.2,24,1023.5,24,995.3,24,3.9,24,6.7,24,12,999.9,46.0*,37.9,0.08G,999.9,110000
723140,13881,1980,1,10,37.7,24,32.6,24,1031.9,24,1003.4,24,3.6,24,6.3,24,12,999.9,46.9*,30.9,0.02G,999.9,1e+05
723140,13881,1980,1,11,39.8,24,36.1,24,1024,24,995.7,24,3.8,24,5.9,24,10.1,999.9,46.9,30.9,0.31G,999.9,110000
723140,13881,1980,1,12,43.3,24,27.6,24,1021.8,24,993.7,24,14.2,24,7.4,24,12,999.9,48.0*,34,0.47G,999.9,110000
723140,13881,1980,1,13,35.6,24,19,24,1028.1,24,999.7,24,10.6,24,9.5,24,15,999.9,48,30.9,0.01G,999.9,110000
723140,13881,1980,1,14,37.5,24,35,24,1018.5,24,990.3,24,7.1,24,8.5,24,13,999.9,52.0*,30,0.71G,999.9,110000
723140,13881,1980,1,15,47.2,24,40.1,24,1021.2,24,993.3,24,13.1,24,5,24,10.1,999.9,61.0*,32,0.02G,999.9,0
723140,13881,1980,1,16,49.5,24,42.4,24,1024.2,24,996.3,24,9,24,3.9,24,6,999.9,61,36,0.00G,999.9,0
723140,13881,1980,1,17,48,24,45.4,24,1022.9,24,995.1,24,5,24,4.5,24,7,999.9,59,42.1,0.12G,999.9,110000
723140,13881,1980,1,18,49.2,24,48.7,24,1018.4,24,990.6,24,2.8,24,4.7,24,9.9,999.9,51.1*,46,0.87G,999.9,110000
723140,13881,1980,1,19,47.7,24,36.7,24,1022.9,24,995,24,15.6,24,5.3,24,10.1,999.9,63.0*,34.9,0.94G,999.9,0
723140,13881,1980,1,20,44.9,24,29.3,24,1024.3,24,996.3,24,14.4,24,3.2,24,7,999.9,63,30.9,0.00G,999.9,0
723140,13881,1980,1,21,45,24,31.5,24,1020.5,24,992.7,24,14.7,24,3.9,24,8,999.9,57.9,30.9,0.00C,999.9,0
723140,13881,1980,1,22,49,24,39.7,24,1012.9,24,985.2,24,9.4,24,8.2,24,13,19.8,53.1,35.1,0.00D,999.9,110000
723140,13881,1980,1,23,46.8,24,38.2,24,1000.8,24,973.5,24,11.5,24,7.8,24,17.1,24.9,51.1,39.9*,0.43G,999.9,110000
723140,13881,1980,1,24,34.4,24,18.8,24,1008.2,24,980.3,24,14.8,24,10.1,24,20,24.9,52.0*,23,0.31G,999.9,0
723140,13881,1980,1,25,48.2,24,31.4,24,1005.2,24,977.7,24,16.3,24,13.2,24,18.1,23.9,55.9*,42.1*,0.00G,999.9,0
723140,13881,1980,1,26,48.5,24,35.4,24,1013.1,24,985.4,24,10.1,24,6.5,24,14,999.9,57,42.1,0.00D,999.9,0
