STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
725340,14819,1981,1,1,31.4,24,26.5,24,9999.9,0,9999.9,0,6.4,24,10.1,24,17.9,999.9,34.0*,29.1*,0.00D,999.9,101000
725340,14819,1981,1,2,22.3,23,10.5,23,9999.9,0,9999.9,0,14.1,23,9.8,23,14,999.9,29.1*,17.2*,0.00D,999.9,0
725340,14819,1981,1,3,15.6,23,5.6,23,9999.9,0,9999.9,0,11,23,11.8,23,19.8,999.9,25.2*,4.1*,0.00H,999.9,1000
725340,14819,1981,1,4,2.2,24,-14.5,24,9999.9,0,9999.9,0,16.4,24,13.1,24,15,999.9,10.2*,-3.8*,0.00D,999.9,0
725340,14819,1981,1,5,7.9,24,-4.5,24,9999.9,0,9999.9,0,12.5,24,7.9,24,17.9,999.9,21.2*,0.1*,0.00D,999.9,0
725340,14819,1981,1,6,25.1,24,16.8,24,9999.9,0,9999.9,0,7.8,24,11.9,24,19.8,999.9,30.2*,21.2*,0.00H,999.9,101000
725340,14819,1981,1,7,14.7,23,3.6,23,9999.9,0,9999.9,0,12.8,23,13.9,23,49.9,999.9,30.2*,6.3*,0.00D,999.9,1e+05
725340,14819,1981,1,8,12.6,24,2.5,24,9999.9,0,9999.9,0,10.3,24,6.3,24,16.9,999.9,21.2*,8.2*,0.00D,999.9,0
725340,14819,1981,1,9,14.7,24,8.6,24,9999.9,0,9999.9,0,7.3,24,7.4,24,11.8,999.9,20.1*,10.2*,0.00D,999.9,1e+05
725340,14819,1981,1,10,10.8,24,-1.3,24,9999.9,0,9999.9,0,15.4,24,9,24,15,999.9,18.1*,3.2*,0.00D,999.9,0
725340,14819,1981,1,11,10.7,23,-0.8,23,9999.9,0,9999.9,0,14.9,23,11.2,23,19.8,999.9,15.3*,5.2*,0.00D,999.9,0
725340,14819,1981,1,12,12.6,24,4.8,24,9999.9,0,9999.9,0,15.6,24,9.7,24,15,999.9,22.1*,5.2*,0.00D,999.9,1000
725340,14819,1981,1,13,26.8,23,20.6,23,9999.9,0,9999.9,0,7,23,5.8,22,8,999.9,33.1*,20.1*,0.00D,999.9,0
725340,14819,1981,1,14,28.8,24,25.1,24,9999.9,0,9999.9,0,4.5,24,5.6,24,11.8,999.9,31.1*,25.2*,0.00D,999.9,101000
725340,14819,1981,1,15,26,23,21.9,23,9999.9,0,9999.9,0,3.7,23,6.2,23,15,999.9,29.1*,21.2*,0.00H,999.9,101000
725340,14819,1981,1,16,17.4,24,10.8,24,9999.9,0,9999.9,0,9.3,23,10.1,24,15,999.9,26.2*,7.2*,0.00D,999.9,101000
725340,14819,1981,1,17,15.4,22,7.8,22,9999.9,0,9999.9,0,15.4,22,9.7,22,19.8,999.9,27.1*,7.2*,0.00D,999.9,0
725340,14819,1981,1,18,31.3,24,18.3,24,9999.9,0,9999.9,0,16.2,24,8.9,24,14,999.9,43.0*,25.2*,0.00D,999.9,0
725340,14819,1981,1,19,36,23,27,23,9999.9,0,9999.9,0,13.4,23,8.4,23,15,999.9,44.1*,31.1*,0.00D,999.9,0
725340,14819,1981,1,20,35.2,24,32.7,24,9999.9,0,9999.9,0,4.8,24,5.1,24,9.9,999.9,41.0*,29.1*,0.00D,999.9,1e+05
725340,14819,1981,1,21,30.8,23,30,23,9999.9,0,9999.9,0,1.6,23,8,23,11.8,999.9,33.1*,29.1*,0.00D,999.9,1e+05
725340,14819,1981,1,22,32.2,23,26.3,23,9999.9,0,9999.9,0,4.8,23,8.3,23,22.9,999.9,44.1*,26.2*,0.00D,999.9,1e+05
725340,14819,1981,1,23,36,24,24.6,24,9999.9,0,9999.9,0,11.6,24,3.2,24,7,999.9,45.0*,29.1*,0.00D,999.9,0
725340,14819,1981,1,24,38.1,23,27.1,23,9999.9,0,9999.9,0,9.9,23,2.6,23,8,999.9,51.1*,29.1*,0.00C,999.9,0
725340,14819,1981,1,25,40.4,24,32.7,24,9999.9,0,9999.9,0,6.9,24,9.1,23,14,999.9,48.9*,36.0*,0.00D,999.9,1e+05
725340,14819,1981,1,26,41.1,24,32.1,24,9999.9,0,9999.9,0,9.3,24,13.3,24,17.9,999.9,48.0*,37.0*,0.00D,999.9,0
