STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
724280,14821,1980,1,1,29.8,24,27.2,24,1015.4,24,984.3,24,2.3,24,4.5,24,8,999.9,32.0*,24.1,0.00D,999.9,1e+05
724280,14821,1980,1,2,29.4,23,25.3,23,1017.4,23,986.3,23,5,23,6.3,23,9.9,999.9,32,27.9,0.00G,999.9,111000
724280,14821,1980,1,3,31.4,24,28.2,23,1022.2,24,991.4,24,6.5,24,5.4,24,8.9,999.9,33.1,28,0.00G,999.9,101000
724280,14821,1980,1,4,27.6,23,21.7,23,1020.8,23,989.9,23,5.5,23,9.2,23,12.8,16.9,33.1,23.9,0.02G,999.9,1000
724280,14821,1980,1,5,26.1,23,22.1,23,1015.2,23,984.1,23,3.2,23,9.6,23,14,18.8,30.9,23.9,0.24G,2,1000
724280,14821,1980,1,6,26.7,24,21.9,24,1021.6,24,990.3,24,6.4,24,8.8,24,14,999.9,29.1*,24.1,0.01G,3.1,1000
724280,14821,1980,1,7,31.4,24,22,24,1009.8,24,979,24,7.6,24,16.2,24,23.9,34,39.0*,25,0.00G,999.9,11000
724280,14821,1980,1,8,23,23,13.2,23,1024,23,992.7,23,14.8,23,9,23,12,999.9,39,18,0.00D,1.2,0
724280,14821,1980,1,9,22.4,24,13.4,24,1028.2,24,996.5,24,9.6,24,4.6,23,11.8,999.9,29.1*,16,0.00D,999.9,0
724280,14821,1980,1,10,26.3,23,18.5,23,1029.2,23,997.6,23,10.8,23,7.1,23,10.9,999.9,42.1*,16.899999999999999,0.00D,999.9,0
724280,14821,1980,1,11,45.9,23,40,23,1012.2,23,981.7,23,6.9,23,14.3,23,25.1,36.9,53.1*,37.0*,0.98G,999.9,110010
724280,14821,1980,1,12,25.5,22,10.2,22,1026.6,22,995.3,22,14.9,22,14.9,22,28,39.8,36.0*,18,0.67G,999.9,0
724280,14821,1980,1,13,29.7,24,14.6,24,1026.3,24,994.9,24,14.5,24,8,24,14,999.9,45.0*,18,0.00G,999.9,0
724280,14821,1980,1,14,39.6,24,34.8,24,1019.1,24,988.4,24,7.4,24,5.7,24,11.8,999.9,45,37.9*,0.04G,999.9,110000
724280,14821,1980,1,15,38,23,34.2,23,1026.5,23,995.4,23,4.8,23,5.4,23,9.9,999.9,43.9,36,0.00G,999.9,1e+05
724280,14821,1980,1,16,40.5,23,36.2,23,1022.6,23,991.8,23,4.7,23,7.4,23,8.9,999.9,52.0*,34.9,0.00G,999.9,1e+05
724280,14821,1980,1,17,51.8,24,44.5,24,1016.2,24,986,24,10.4,24,10.2,24,15.9,22.9,57.0*,35.1,0.01G,999.9,110000
724280,14821,1980,1,18,35.9,24,31.1,24,1021,24,990.2,24,7.3,24,4.8,24,11.1,999.9,57,28.9,0.00G,999.9,1e+05
724280,14821,1980,1,19,34.5,24,26,24,1027.5,24,996.4,24,6.3,24,6.5,24,8.9,999.9,39,28.9,0.00D,999.9,0
724280,14821,1980,1,20,34.8,24,26.2,24,1028.3,24,997.1,24,6.4,24,8.2,24,14,999.9,39,30.9,0.00G,999.9,101000
724280,14821,1980,1,21,29.6,23,20.8,23,1023.5,23,992.3,23,10.2,23,7,23,12,17.9,39.0*,21.9,0.00G,999.9,0
724280,14821,1980,1,22,34.9,24,27.9,24,1010.2,24,979.5,24,9.1,24,9.9,24,20,26.8,39.9,21.9,0.00G,999.9,111000
724280,14821,1980,1,23,26.5,23,16.4,23,1005.5,23,974.8,23,10.3,23,14,23,17.9,25.8,37,18.1*,0.01G,999.9,1000
724280,14821,1980,1,24,15.9,23,8.5,23,1005.9,23,974.7,23,9.1,23,10.3,23,15.9,24.9,32,11.8,0.20G,2.8,111000
724280,14821,1980,1,25,32.8,22,30,22,1002.5,22,971.8,22,4.2,22,6.9,22,14,19.8,39.9,12,0.04G,999.9,111000
724280,14821,1980,1,26,25.2,24,17,24,1018.9,24,987.8,24,9.3,24,6.8,24,15,999.9,39.9,14.9,0.01G,999.9,1e+05
724280,14821,1980,1,27,26.1,22,15.1,22,1020.6,22,989.5,22,10.5,22,5.7,22,15,999.9,32,15.1,0.00G,999.9,0
724280,14821,1980,1,28,23.3,23,13.6,23,1022.7,23,991.4,23,12,23,8,23,11.8,999.9,32,18,0.00G,999.9,1000
724280,14821,1980,1,29,18.4,22,8.6,22,1026.4,22,994.8,22,10.6,22,9.2,22,12.8,22.9,26.1,14.9,0.00G,999.9,1000
724280,14821,1980,1,30,17.1,24,7.3,24,1030.5,24,998.5,24,10,24,4.6,24,8.9,999.9,25.2*,10.9,0.00D,999.9,1000
724280,14821,1980,1,31,18.8,24,10.6,24,1026.2,24,994.5,24,9,23,9.8,24,14,17.9,25,12.9,0.04G,0.8,1000
724280,14821,1980,2,1,13.1,24,3.7,24,1029.7,24,997.6,24,13.4,23,7.9,24,14,999.9,23,5,0.00D,999.9,0
724280,14821,1980,2,2,16.2,24,7.6,24,1031.1,24,999,24,10.3,24,6.2,24,11.8,999.9,22.1*,5,0.00G,999.9,1000
724280,14821,1980,2,3,17,23,7.6,23,1030.7,23,998.7,23,9.5,23,4.4,23,12,17.9,26.1,7,0.00G,999.9,1000
724280,14821,1980,2,4,16.6,24,8.6,24,1030.8,24,998.7,24,9.6,24,6.6,24,10.9,999.9,27.1*,5.9,0.00D,999.9,1000
724280,14821,1980,2,5,18.9,24,12,24,1029.6,24,997.7,24,8.7,24,4,24,9.9,999.9,30.2*,6.1,0.00G,999.9,1e+05
724280,14821,1980,2,6,27.5,22,21,22,1018.8,22,987.6,22,5.4,22,6.7,22,11.1,999.9,32.0*,24.1*,0.04G,0.8,101000
724280,14821,1980,2,7,25.1,23,19.7,23,1025.8,23,994.3,23,6.9,23,8.7,23,17.9,999.9,32,21.9,0.02G,999.9,101000
724280,14821,1980,2,8,20.4,24,14.4,24,1033.4,24,1001.5,24,5.5,24,2.5,24,8.9,999.9,30.9*,10.9,0.00G,999.9,1e+05
724280,14821,1980,2,9,28,23,19.6,23,1024.6,23,993.1,23,7.5,23,5.7,23,8.9,999.9,33.1,10.9,0.00G,999.9,1000
724280,14821,1980,2,10,21,24,16.1,24,1019.1,24,987.7,24,6.9,24,6.2,24,11.8,999.9,34,11.8,0.00G,999.9,101000
724280,14821,1980,2,11,24.7,24,17.8,24,1014.9,24,983.6,24,7.5,24,9.8,24,17.9,999.9,30.2*,12,0.00D,999.9,1000
724280,14821,1980,2,12,17.8,24,11.2,24,1021.1,24,989.5,24,9.6,24,8.5,24,17.9,999.9,30,7,0.04G,999.9,1000
