STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722590,3927,1980,1,1,44,24,29.3,24,1021.6,24,999.6,24,14,24,4.8,24,9.9,999.9,62.1*,32,0.00D,999.9,0
722590,3927,1980,1,2,48.5,24,38.4,24,1015.7,24,994,24,13.6,24,7.9,24,15,999.9,63,32,0.00D,999.9,0
722590,3927,1980,1,3,45.6,24,36.2,24,1019.2,24,997.5,24,9.6,24,13.4,24,19.8,23.9,60.1,39,0.00D,999.9,0
722590,3927,1980,1,4,36.2,24,28,24,1022.6,24,1000.5,24,7.6,24,3.4,24,8,999.9,51.1,32,0.00D,999.9,0
722590,3927,1980,1,5,37.2,24,29.6,24,1024.4,24,1002.1,24,7.8,24,4.4,24,8.9,999.9,46.9*,29.8,0.00D,999.9,0
722590,3927,1980,1,6,48.3,24,41.7,24,1014.2,24,992.4,24,8.2,24,11.1,24,22,34,70.0*,30,0.00D,999.9,110000
722590,3927,1980,1,7,41.1,23,22.4,23,1016.6,23,994.8,23,14.5,23,12.2,23,23.9,31.9,71.099999999999994,29.8,0.00D,999.9,0
722590,3927,1980,1,8,34.8,23,18.9,23,1020.5,23,998.3,23,13.8,23,3.6,23,6,999.9,48.9*,26.1,0.00C,999.9,0
722590,3927,1980,1,9,39.6,24,28.2,24,1022.5,24,1000.4,24,9.8,24,4.5,24,8.9,999.9,55.0*,26.1,0.00D,999.9,0
722590,3927,1980,1,10,49.4,24,46.1,24,1016.6,24,994.9,24,4.3,24,9.1,24,13,999.9,55.9,28.9,0.00D,999.9,110000
722590,3927,1980,1,11,54.9,24,41.4,24,1013.9,24,992.3,24,9.4,24,14.1,24,19.8,29.9,60.1,45,0.01G,999.9,110000
722590,3927,1980,1,12,44.4,22,15.5,22,1027.7,22,1005.7,22,17.2,22,7.1,22,15,999.9,57.9,36,0.00G,999.9,0
722590,3927,1980,1,13,48.6,24,27.8,24,1015.1,24,993.4,24,15.1,24,8.9,24,16.9,999.9,66.0*,36,0.00D,999.9,0
722590,3927,1980,1,14,50.8,23,39.7,23,1013.8,23,992.2,23,12.6,23,3.3,23,11.8,999.9,70.0*,37,0.00C,999.9,0
722590,3927,1980,1,15,61.8,21,55,21,1013,21,991.7,21,9.5,21,12.4,21,19.8,23.9,70,55.9*,0.00D,999.9,1e+05
722590,3927,1980,1,16,57.9,23,49.4,23,1014.3,23,993,23,13.9,23,4.8,23,7,999.9,71.099999999999994,48.9,0.01G,999.9,10000
722590,3927,1980,1,17,51.5,24,42.8,24,1017.6,24,996,24,12.1,24,4.7,24,8,999.9,70.900000000000006,41.9,0.00G,999.9,0
722590,3927,1980,1,18,50.4,24,40.2,24,1019,24,997.2,24,12.5,24,4.1,24,12,999.9,69.1*,36.9,0.00D,999.9,0
722590,3927,1980,1,19,56,24,49.8,24,1021,24,999.3,24,8,24,8.1,24,11.8,999.9,69.099999999999994,37,0.00D,999.9,110000
722590,3927,1980,1,20,50.6,24,49.4,24,1024.8,24,1003.1,24,2.5,24,10.1,24,16.9,999.9,59,45,0.08G,999.9,111010
722590,3927,1980,1,21,45.7,24,44.3,24,1021.6,24,999.7,24,4.1,24,7.5,24,10.9,999.9,55.9,43.9,0.28G,999.9,110010
722590,3927,1980,1,22,45,24,39.2,24,1016.8,24,995,24,7.6,24,11.3,24,17.9,22.9,51.1*,41,1.42G,999.9,110010
722590,3927,1980,1,23,41.7,23,28.1,23,1022.5,23,1000.4,23,16.2,23,8.9,23,999.9,999.9,57.0*,32,0.12G,999.9,0
722590,3927,1980,1,24,50.8,24,31.1,24,1015.8,24,994.2,24,16.4,24,8.8,24,18.1,24.9,66.9*,32,0.00G,999.9,0
722590,3927,1980,1,25,48.7,22,35.2,22,1006.7,22,985.2,22,16,22,5.6,22,10.1,999.9,68,39,0.00D,999.9,0
722590,3927,1980,1,26,44.5,24,39.4,24,1010.4,24,988.8,24,10,24,6.1,24,16.9,22.9,57,37.9,0.00D,999.9,1e+05
722590,3927,1980,1,27,33.3,24,24.1,24,1022.3,24,1000.2,24,7.9,24,11.8,24,15,22.9,46.9,28.9,0.00D,999.9,0
722590,3927,1980,1,28,31.8,23,25.5,23,1022.3,23,1000,23,5.5,23,6.2,23,10.1,999.9,35.1,28.9,0.00D,999.9,110000
722590,3927,1980,1,29,31.7,22,29.2,22,1025.1,22,1002.7,22,2.4,22,6.9,22,10.1,999.9,34.0*,29.8,0.31G,999.9,110000
