STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
724660,93037,1980,1,1,33.4,24,16.4,24,1020.6,24,810.8,8,58.8,24,7.4,24,12,999.9,46.9,21.9,0.00C,999.9,0
724660,93037,1980,1,2,32.3,24,24.8,24,1020.3,24,810.9,8,20.2,24,5.6,24,10.9,999.9,43,28.9,0.04G,3.9,1000
724660,93037,1980,1,3,25.8,24,13.3,24,1022.7,24,811.2,8,48.5,24,5,24,9.9,999.9,39.9*,11.8,0.00G,2.8,101000
724660,93037,1980,1,4,28.2,24,15,24,1019.2,24,808.5,8,50.1,24,5.9,24,9.9,999.9,39.9,18,0.00D,2.8,0
724660,93037,1980,1,5,29.1,24,16.3,24,1019.4,24,808.8,8,57.4,24,6.1,24,9.9,999.9,48.0*,18.899999999999999,0.00D,2.8,0
724660,93037,1980,1,6,40.9,24,17.7,24,1002.9,24,798.7,8,50.3,24,14.2,24,28,37.9,52,19.2*,0.00D,0.8,1000
724660,93037,1980,1,7,11.4,24,3.6,24,1015.4,24,803.4,8,25.8,24,7.7,24,14,999.9,21.0*,2.8,0.01G,0.8,1000
724660,93037,1980,1,8,16.6,24,4.7,24,1015.3,24,802,8,44.3,24,7,24,19.8,25.8,44.1*,3.9,0.00G,0.8,0
724660,93037,1980,1,9,20.8,24,16,24,1018.3,24,806.3,8,9.4,24,5.5,24,12.8,999.9,43.9,16,0.00D,0.8,101000
724660,93037,1980,1,10,37.3,24,19.6,24,999.5,24,794.3,8,31.3,24,12.6,24,26,35.9,48.9*,21.9,0.00D,0.8,10000
724660,93037,1980,1,11,30.1,24,9.5,24,1011.6,24,803.4,8,48.9,24,16.4,24,27,37.9,50,21.0*,0.02G,0.8,11000
724660,93037,1980,1,12,29.7,24,15,24,1016.3,24,806.3,8,58.8,24,6.9,24,12,999.9,48.0*,16,0.00G,0.8,0
724660,93037,1980,1,13,51,24,26.1,24,1007.2,24,803.8,8,58.8,24,13.6,24,24.1,41,59.0*,43,0.00D,999.9,0
724660,93037,1980,1,14,43.3,24,27.5,24,1008.2,24,804.3,8,64.6,24,7.5,24,11.8,999.9,59,34,0.00D,999.9,0
724660,93037,1980,1,15,41,24,31,24,1011.7,24,806.3,8,29.4,24,8,24,19.8,25.8,59,36.9,0.00D,999.9,10000
724660,93037,1980,1,16,35.7,24,24.2,24,1018,24,809.6,8,44.3,24,7.5,24,12,999.9,45,29.8,0.00C,999.9,0
724660,93037,1980,1,17,33.1,24,23.2,24,1017.1,24,808.5,8,33.4,24,4.7,24,8.9,999.9,44.1*,22.1*,0.00C,999.9,1e+05
724660,93037,1980,1,18,33.5,24,23.5,24,1015.6,24,807.2,8,29.1,24,6.8,24,12,999.9,45,27.9,0.00D,999.9,1000
724660,93037,1980,1,19,23,24,14.6,24,1028.2,24,815.1,8,12.8,24,12.8,24,19.8,25.8,38.799999999999997,16,0.08G,0.8,1000
724660,93037,1980,1,20,19.4,24,15,24,1033,24,817.4,8,6.2,24,5.8,24,12,999.9,31.1*,16,0.01G,0.8,101000
724660,93037,1980,1,21,29.2,24,16.6,24,1023.9,24,811.8,8,48.8,24,6.3,24,12,17.9,42.1*,18,0.00G,999.9,1e+05
724660,93037,1980,1,22,27.3,24,12.2,24,1024.9,24,813.4,8,45.5,24,8.6,24,18.1,22.9,43,14.9,0.02G,999.9,1000
724660,93037,1980,1,23,30.5,24,10.8,24,1024.8,24,813.2,8,61.7,24,6.2,24,9.9,999.9,46.9*,19.899999999999999,0.00G,999.9,0
724660,93037,1980,1,24,42.5,24,17.5,24,1012,24,806.4,8,61.7,24,7.6,24,15,999.9,60.1*,28.9,0.00D,999.9,0
724660,93037,1980,1,25,32.6,24,21.9,24,1006.4,24,801.2,8,36,24,10.7,24,16.9,999.9,61,27.9,0.00D,999.9,1e+05
724660,93037,1980,1,26,8.2,24,1.1,24,1018.3,24,804.2,8,3.9,24,14.3,24,31.9,42,36.9,2.8,0.01G,999.9,101000
724660,93037,1980,1,27,0.3,24,-5.1,24,1021.6,24,804.2,8,4.6,24,8,24,10.1,999.9,7.9,-5.0999999999999996,0.02G,0.8,101000
724660,93037,1980,1,28,3.2,24,-2.2,24,1021,24,803.6,8,5.6,24,5,24,8,999.9,7,0,0.01G,0.8,101000
724660,93037,1980,1,29,1.6,24,-3.9,24,1021.2,24,804.1,8,5.7,24,6.1,24,10.9,999.9,8.2*,-3.1,0.01G,2,101000
724660,93037,1980,1,30,11.1,24,5.1,24,1021.5,24,805,8,9.7,24,4.9,24,9.9,999.9,21.0*,2.8,0.00G,0.8,1000
