STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722430,12960,1980,1,1,41.7,24,32.8,24,1022.8,24,1018.9,24,13.7,24,3.9,24,10.1,999.9,61.0*,27.9,0.00D,999.9,0
722430,12960,1980,1,2,46.3,24,41.4,24,1018.4,24,1014.6,24,11.1,24,5.5,24,12,999.9,66.9*,28,0.00D,999.9,1e+05
722430,12960,1980,1,3,53.6,24,49.8,24,1016,24,1012.3,24,8.3,24,9.7,24,15.9,22.9,70,32,0.28G,999.9,110010
722430,12960,1980,1,4,44.5,24,36.2,24,1021.8,24,1017.9,24,8.3,24,5.7,24,12,999.9,57.9,37.9,0.00D,999.9,0
722430,12960,1980,1,5,43.5,24,38.4,24,1023.2,24,1019.4,24,5.5,24,3,24,7,999.9,64.0*,30.9,0.00D,999.9,1e+05
722430,12960,1980,1,6,55.5,24,50.2,24,1018.8,24,1015,24,7.2,24,8.1,24,15,23.9,71.1*,30.9,0.00D,999.9,1e+05
722430,12960,1980,1,7,56.1,24,48.8,24,1014.3,24,1010.5,24,10.3,24,7.3,24,12.8,999.9,72,44.1,0.00D,999.9,110000
722430,12960,1980,1,8,47.1,24,39.7,24,1018,24,1014.1,24,7.3,24,5.6,24,8,999.9,62.1,45,0.00C,999.9,110000
722430,12960,1980,1,9,49.7,24,47.9,24,1021.6,24,1017.8,24,5,24,5.2,24,8.9,999.9,57.9*,45,0.00C,999.9,110000
722430,12960,1980,1,10,54.6,24,54.4,24,1019,24,1015.2,24,1.6,24,7.2,24,10.1,999.9,64.9*,46,0.00D,999.9,110000
722430,12960,1980,1,11,68.6,24,62.3,24,1013.3,24,1009.5,24,6.9,24,8.4,24,12,999.9,75.0*,51.1,0.02G,999.9,110000
722430,12960,1980,1,12,55,24,29,24,1023.5,24,1019.7,24,14.3,24,8,24,12,999.9,75.900000000000006,48.9,0.00G,999.9,0
722430,12960,1980,1,13,49.6,24,41.8,24,1018.1,24,1014.4,24,10.2,24,4.5,24,10.1,999.9,71.1*,36,0.00D,999.9,0
722430,12960,1980,1,14,57.6,24,54,24,1015.5,24,1011.7,24,3.5,24,4.3,24,10.1,999.9,75.0*,36,0.00D,999.9,1e+05
722430,12960,1980,1,15,63,24,60.2,24,1016.6,24,1012.8,24,2.8,24,9,24,13,15.9,75,46.9,0.00D,999.9,1e+05
722430,12960,1980,1,16,64.8,24,62.7,24,1015.3,24,1011.7,24,1.4,24,4.7,24,10.1,999.9,72,57.9,0.00H,999.9,110000
722430,12960,1980,1,17,65.3,24,61.8,24,1014.9,24,1011.2,24,5.5,24,5.3,24,8.9,999.9,73,61,0.63G,999.9,110010
722430,12960,1980,1,18,56.6,24,55.1,24,1018.4,24,1014.6,24,3.5,24,4.2,24,8.9,999.9,73,50.9,1.14G,999.9,1e+05
722430,12960,1980,1,19,60.4,24,56.8,24,1021.3,24,1017.6,24,4.2,24,8.4,24,13,999.9,66.0*,51.1,0.00G,999.9,1e+05
722430,12960,1980,1,20,63.9,24,61.2,24,1021.8,24,1018,24,3.5,24,7.3,24,10.1,999.9,66.900000000000006,55.9,0.00D,999.9,110010
722430,12960,1980,1,21,63.6,24,61.3,24,1018.4,24,1014.7,24,4.2,24,6.3,24,13,999.9,69.099999999999994,61.9,2.32G,999.9,110010
722430,12960,1980,1,22,57.4,24,55.5,24,1011.4,24,1007.7,24,4.7,24,7.8,24,14,999.9,68,50.0*,1.97G,999.9,110000
722430,12960,1980,1,23,44.9,24,33.8,24,1021.2,24,1017.4,24,16.1,24,10.6,24,15.9,23.9,63,36,0.01G,999.9,10000
722430,12960,1980,1,24,47.7,24,37.4,24,1019.9,24,1016,24,13.7,24,5.3,24,17.1,999.9,64.0*,36,0.00G,999.9,0
722430,12960,1980,1,25,56.4,24,44.8,24,1010.6,24,1006.8,24,11.6,24,7.5,24,11.1,999.9,64.900000000000006,53.1*,0.00D,999.9,110000
722430,12960,1980,1,26,60.7,24,54.6,24,1009.4,24,1005.7,24,5.9,24,4.5,24,10.1,999.9,75.0*,52,0.00H,999.9,110000
722430,12960,1980,1,27,53.3,24,47.5,24,1017.6,24,1013.9,24,8,24,7,24,10.1,999.9,75.900000000000006,45,0.00C,999.9,1e+05
722430,12960,1980,1,28,50.5,24,46.3,24,1019.7,24,1015.9,24,5.9,24,7,24,12,999.9,63.0*,41,0.00H,999.9,110000
722430,12960,1980,1,29,52.2,24,51.2,24,1020.2,24,1016.4,24,2.7,24,7.7,24,12,999.9,64,41,0.04G,999.9,110000
722430,12960,1980,1,30,51.4,24,50.8,24,1018.6,24,1014.8,24,1.3,24,5.9,24,10.9,999.9,66.9*,45.9,0.02G,999.9,110000
722430,12960,1980,1,31,41.9,24,37.1,24,1026.8,24,1023,24,11.2,24,13.3,24,17.1,28,66.900000000000006,36.9,0.01G,999.9,110000
722430,12960,1980,2,1,35.9,24,23.9,24,1033.7,24,1029.9,24,11.1,24,8.5,24,13,16.9,46.0*,27.9,0.00D,999.9,0
722430,12960,1980,2,2,37.3,24,31.6,24,1029.4,24,1025.6,24,6.7,24,6.3,24,8.9,999.9,46.9,28,0.20G,0.8,111000
722430,12960,1980,2,3,40.7,24,39,24,1027.9,24,1024.1,24,5,24,4.2,24,6,999.9,53.1*,32,0.01G,999.9,1e+05
722430,12960,1980,2,4,44.2,24,40.7,24,1026,24,1022.2,24,4.2,24,5.3,24,14,999.9,62.1*,32,0.00G,999.9,1e+05
722430,12960,1980,2,5,55.1,24,52.5,24,1021.7,24,1017.9,24,5.8,24,8.6,24,14,999.9,69.099999999999994,50.0*,0.00D,999.9,110000
722430,12960,1980,2,6,49.8,24,40.4,24,1025.1,24,1021.3,24,8,24,4.7,24,10.1,999.9,71.099999999999994,34.9,0.08G,999.9,1e+05
722430,12960,1980,2,7,53.8,24,45.6,24,1020.9,24,1017.1,24,11.2,24,11.4,24,26,29.9,66,35.1,0.00G,999.9,0
722430,12960,1980,2,8,55.9,24,54.7,24,1015.7,24,1011.9,24,5,24,11.8,24,20,36.9,68.0*,44.1*,0.08G,999.9,110010
722430,12960,1980,2,9,40.1,24,39.4,24,1018.5,24,1014.7,24,5.7,24,10.2,24,14,21,43.0*,37.0*,1.61G,999.9,110010
722430,12960,1980,2,10,34.6,24,31.4,24,1023.8,24,1019.9,24,6,24,8.4,24,15.9,19.8,42.1*,32,0.01G,999.9,111000
722430,12960,1980,2,11,40,24,33.4,24,1021.2,24,1017.4,24,5.6,24,3.6,24,8,999.9,54.0*,32,0.00G,999.9,1e+05
722430,12960,1980,2,12,46.2,24,38.2,24,1023.2,24,1019.4,24,8.4,24,5.3,24,8.9,999.9,54,32,0.00D,999.9,1e+05
722430,12960,1980,2,13,48.7,24,42.8,24,1023.1,24,1019.3,24,7.7,24,5.6,24,8.9,999.9,59.0*,43,0.00D,999.9,0
722430,12960,1980,2,14,54.9,24,52.9,24,1022.3,24,1018.5,24,3.5,24,6.2,24,12,999.9,66.0*,43,0.00D,999.9,110000
722430,12960,1980,2,15,63,24,61,24,1017.4,24,1013.7,24,3.9,24,6.5,24,12,999.9,75.900000000000006,48,0.24G,999.9,110000
722430,12960,1980,2,16,47.5,24,45.2,24,1016.2,24,1012.3,24,8.5,24,10.7,24,18.1,28.9,75.900000000000006,36.0*,0.28G,999.9,110000
722430,12960,1980,2,17,33.7,24,22.9,24,1024.1,24,1020.2,24,14,24,7.2,24,12,999.9,46.0*,27,0.04G,999.9,0
722430,12960,1980,2,18,43.1,24,35.1,24,1020.4,24,1016.6,24,10.3,24,5.8,24,11.1,999.9,50.0*,27,0.00G,999.9,0
722430,12960,1980,2,19,61,24,55.5,24,1012,24,1008.2,24,9.5,24,9.2,24,20,28,78.1*,39,0.00D,999.9,1e+05
722430,12960,1980,2,20,65.4,24,61.2,24,1009.3,24,1005.5,24,7.9,24,7.8,24,12,999.9,79,55,0.00D,999.9,1e+05
722430,12960,1980,2,21,71.2,24,61.2,24,1010.1,24,1006.4,24,7.7,24,7.5,24,13,999.9,84.0*,57,0.00D,999.9,110000
722430,12960,1980,2,22,64.3,24,54.7,24,1012.4,24,1008.7,24,8,24,6,24,12,999.9,84,48.9,0.00D,999.9,1e+05
722430,12960,1980,2,23,68.4,24,57.7,24,1014.8,24,1011,24,8.2,24,5.7,24,8.9,999.9,84,48.9,0.00H,999.9,110000
722430,12960,1980,2,24,64.1,24,54.5,24,1017.2,24,1013.4,24,8.5,24,4.9,24,10.1,999.9,84,50,0.00C,999.9,0
722430,12960,1980,2,25,57.1,24,40.5,24,1024.9,24,1021.1,24,12,24,10,24,15,19.8,73.0*,41,0.00D,999.9,0
722430,12960,1980,2,26,49.6,24,22.3,24,1031.8,24,1027.9,24,13.6,24,7.2,24,13,999.9,70,36,0.00D,999.9,0
722430,12960,1980,2,27,51.8,24,40.1,24,1027,24,1023.2,24,10.3,24,5.3,24,11.1,999.9,72.0*,36,0.00D,999.9,0
722430,12960,1980,2,28,59.2,24,49.8,24,1019.3,24,1015.6,24,8.9,24,6.1,24,14,15,75.9*,37,0.00C,999.9,1e+05
722430,12960,1980,2,29,69.3,24,61.4,24,1013.2,24,1009.4,24,10.1,24,8.9,24,15,19.8,80.1*,64.0*,0.00D,999.9,1e+05
722430,12960,1980,3,1,50.5,24,44.9,24,1017.9,24,1014.2,24,9.2,24,13,24,22,31.9,73.0*,34.9,0.51G,999.9,110010
