STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
724380,93819,1980,1,1,29.1,24,25.4,24,1016.3,24,986.1,24,4.6,24,5.3,24,10.1,999.9,35.1,27,0.00C,999.9,1e+05
724380,93819,1980,1,2,29.5,24,25.6,24,1017.9,24,987.8,24,7,24,5.9,24,10.1,999.9,33.1,27,0.00D,999.9,111000
724380,93819,1980,1,3,30.6,24,25.5,24,1022.3,24,992.1,24,7.7,24,4.9,24,10.1,999.9,34.0*,27.9,0.00D,999.9,101000
724380,93819,1980,1,4,28.2,24,23.1,24,1020.5,24,990.3,24,5.5,24,11.1,24,14,999.9,34,25.9,0.08G,0.8,101000
724380,93819,1980,1,5,24.2,24,17.9,24,1019.5,24,989.2,24,7.2,24,8,24,12,999.9,30,19.899999999999999,0.01G,0.8,1000
724380,93819,1980,1,6,24.3,24,16.6,24,1020.1,24,989.7,24,9.8,24,8.9,24,18.1,999.9,32.0*,18,0.00D,999.9,0
724380,93819,1980,1,7,27.2,24,18.6,24,1009.7,24,979.7,24,11.1,24,15.9,24,28,36.9,41,18,0.08G,999.9,111000
724380,93819,1980,1,8,19.1,24,8.6,24,1025.1,24,994.4,24,14.2,24,6.8,24,12,999.9,41,12.9,0.04G,999.9,0
724380,93819,1980,1,9,22.9,24,11.1,24,1028.4,24,997.6,24,14.2,24,6.5,24,15,999.9,30.9*,12.9,0.00G,999.9,0
724380,93819,1980,1,10,26.9,24,18.8,24,1025.9,24,995.3,24,10.8,24,8.3,24,12,999.9,39.9*,18,0.00D,999.9,1e+05
724380,93819,1980,1,11,47,24,40.4,24,1008.4,24,979,24,8.3,24,18.1,24,34,39.8,57,19,0.83G,999.9,110000
724380,93819,1980,1,12,22.5,24,5.1,24,1028.7,24,998.2,24,19.9,24,11,24,21,30.9,28.9*,14.9,0.20G,999.9,0
724380,93819,1980,1,13,30.9,24,16.2,24,1022.8,24,992.4,24,19.3,24,9.3,24,14,999.9,46.0*,15.1,0.00G,999.9,0
724380,93819,1980,1,14,37.3,24,30.6,24,1018.3,24,988.5,24,8.9,24,3.5,24,7,999.9,46,24.1,0.08G,999.9,10000
724380,93819,1980,1,15,35.5,24,31.8,24,1024.3,24,994.2,24,3.5,24,6.4,24,11.1,999.9,46,27.9,0.00G,999.9,1e+05
724380,93819,1980,1,16,43.5,24,39.3,24,1018.4,24,988.7,24,6.4,24,10.1,24,15,999.9,52.0*,28,0.04G,999.9,110000
724380,93819,1980,1,17,45.7,24,39.8,24,1014.9,24,985.4,24,8.5,24,11.8,24,17.1,21,54,39.9,0.04G,999.9,10000
724380,93819,1980,1,18,34.9,24,27.8,24,1022,24,992.1,24,9.4,24,5.6,24,10.1,999.9,54,29.8,0.00G,999.9,0
724380,93819,1980,1,19,30.7,24,26.5,24,1028.6,24,998.2,24,4,24,3,24,10.1,999.9,39.0*,27,0.00D,999.9,111000
724380,93819,1980,1,20,33.4,24,27.3,24,1030.1,24,999.7,24,6.2,24,6.3,24,11.8,999.9,39,27,0.04G,999.9,111000
724380,93819,1980,1,21,26.7,24,20.3,24,1024.5,24,994.1,24,8.9,24,5,24,8,999.9,39,20.8,0.02G,999.9,0
724380,93819,1980,1,22,34.1,24,26.4,24,1010.5,24,980.7,24,7.9,24,10.1,24,18.1,23.9,37.0*,21,0.00G,999.9,111000
724380,93819,1980,1,23,19.3,24,9.8,24,1009.8,24,979.7,24,10.7,24,13,24,19,26.8,37,12.9,0.00D,999.9,1000
724380,93819,1980,1,24,21.4,24,15.5,24,1004.6,24,974.4,24,9.2,24,8,24,15,22,37.0*,11.8,0.04G,999.9,11000
724380,93819,1980,1,25,35.4,24,31.7,24,1003.4,24,973.8,24,7,24,8,24,13,17.9,39.9,30.0*,0.16G,999.9,110000
