STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722060,13889,1980,1,1,45.9,24,35.1,24,1014.2,24,1013.2,24,8.5,24,10.6,24,18.1,23.9,55,37.9,0.00G,999.9,0
722060,13889,1980,1,2,46.7,24,31,24,1017.8,24,1016.8,24,9.1,24,8.4,24,14,999.9,63.0*,34,0.00G,999.9,0
722060,13889,1980,1,3,44.3,24,32,24,1020.2,24,1019.1,24,6.4,24,3.5,24,8.9,999.9,64.0*,29.8,0.00D,999.9,1e+05
722060,13889,1980,1,4,49.5,24,45.2,24,1014.3,24,1013.3,24,5.5,24,1.9,24,6,999.9,64.900000000000006,30,0.04G,999.9,110000
722060,13889,1980,1,5,49.5,24,39.7,24,1014.9,24,1013.9,24,8.5,24,12.5,24,17.1,23.9,59,41,0.24G,999.9,1e+05
722060,13889,1980,1,6,38,24,25.8,24,1022.9,24,1021.9,24,9.7,24,6.3,24,8.9,999.9,53.1,27.9,0.00G,999.9,0
722060,13889,1980,1,7,43.7,24,33.1,24,1023.2,24,1022.2,24,7.2,24,3.6,24,12,999.9,68.0*,28,0.00D,999.9,1e+05
722060,13889,1980,1,8,55.6,24,46.8,24,1021.5,24,1020.5,24,7.7,24,4.2,24,8.9,999.9,72.0*,45.0*,0.00D,999.9,0
722060,13889,1980,1,9,61.1,24,54.7,24,1022.2,24,1021.2,24,6.9,24,4.9,24,8,999.9,72,44.1,0.00G,999.9,110000
722060,13889,1980,1,10,56.8,24,53.8,24,1026.3,24,1025.3,24,3.3,24,9.2,24,15,22,70,53.1,0.00G,999.9,1e+05
722060,13889,1980,1,11,60.4,24,56.4,24,1022.1,24,1021.1,24,3.6,24,6.5,24,11.1,999.9,75.900000000000006,52.9,0.00G,999.9,1e+05
722060,13889,1980,1,12,62.2,24,55.7,24,1020.8,24,1019.8,24,7.4,24,7.3,24,15.9,22,75.900000000000006,53.1,0.00G,999.9,110000
722060,13889,1980,1,13,51.6,24,48,24,1019.9,24,1018.8,24,5,24,9.5,24,15,15.9,57.0*,50.0*,0.39G,999.9,110000
722060,13889,1980,1,14,48.5,24,44.9,24,1016.6,24,1015.6,24,4.3,24,6.5,24,10.1,999.9,53.1,45.9,0.39G,999.9,110000
722060,13889,1980,1,15,52,24,44.8,24,1021.7,24,1020.7,24,5.7,24,6.6,24,10.1,999.9,64.0*,46,0.24G,999.9,1e+05
722060,13889,1980,1,16,54.1,24,47.6,24,1023,24,1022,24,6.3,24,5.5,24,12,999.9,70,41.9,0.00G,999.9,1e+05
722060,13889,1980,1,17,59.1,24,51.9,24,1020.9,24,1019.9,24,7.3,24,3.8,24,10.1,999.9,75,42.1,0.00G,999.9,1e+05
722060,13889,1980,1,18,66.1,24,57.6,24,1018.8,24,1017.7,24,9.1,24,6.4,24,14,999.9,75,48,0.00G,999.9,0
722060,13889,1980,1,19,58.5,24,50,24,1022.5,24,1021.5,24,8.2,24,4.8,24,13,18.1,75.900000000000006,50,0.00D,999.9,1e+05
722060,13889,1980,1,20,50.5,24,36.8,24,1024.6,24,1023.6,24,9.9,24,3.4,24,8.9,999.9,70.0*,34.9,0.00D,999.9,1e+05
722060,13889,1980,1,21,53.2,24,41.4,24,1021.2,24,1020.2,24,9.9,24,2,24,7,999.9,73.9*,35.1,0.00G,999.9,0
722060,13889,1980,1,22,59.2,24,50.5,24,1015.7,24,1014.7,24,8,24,5.1,24,14,21,75.0*,37.9,0.00G,999.9,0
722060,13889,1980,1,23,64.2,24,57.3,24,1005.9,24,1004.8,24,7.6,24,11.3,24,17.1,23.9,73.900000000000006,48,0.75G,999.9,110000
722060,13889,1980,1,24,44.3,24,27.3,24,1016.5,24,1015.5,24,12.8,24,9.9,24,15,17.9,68,30.9,0.63G,999.9,0
722060,13889,1980,1,25,50.5,24,41.1,24,1014.8,24,1013.8,24,9.5,24,6.3,24,10.1,999.9,63.0*,30.9,0.00G,999.9,0
722060,13889,1980,1,26,56.9,24,53.9,24,1014.3,24,1013.3,24,5.8,24,4.1,24,13,17.9,64,41,0.04G,999.9,110000
722060,13889,1980,1,27,59.7,24,57.7,24,1012.3,24,1011.3,24,2.4,24,4.9,24,8,999.9,64.900000000000006,53.1,0.63G,999.9,110000
722060,13889,1980,1,28,52.3,24,48.5,24,1018.3,24,1017.3,24,4.6,24,7,24,10.1,999.9,64.900000000000006,48.9,0.00G,999.9,110000
722060,13889,1980,1,29,50.1,24,40.5,24,1021.5,24,1020.5,24,7.1,24,4,24,11.1,999.9,66.0*,36.9,0.00G,999.9,1e+05
722060,13889,1980,1,30,50.7,24,43.2,24,1023,24,1022,24,7.7,24,2.8,24,8.9,999.9,66,37,0.00G,999.9,0
722060,13889,1980,1,31,50.5,24,47.8,24,1017.2,24,1016.2,24,5,24,6.1,24,15,24.9,66,39,0.16G,999.9,110000
722060,13889,1980,2,1,39.8,24,27.7,24,1022,24,1021,24,7.6,24,8.7,24,13,22,45.0*,34.9,0.01G,999.9,0
722060,13889,1980,2,2,33,24,16.9,24,1026.6,24,1025.5,24,12.3,24,6.3,24,12,999.9,46.0*,25,0.00G,999.9,0
