STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
724460,3947,1980,1,1,28.1,24,24.2,24,1018.9,24,980.8,24,2.6,24,2.9,24,7,999.9,46,25,0.00D,999.9,1e+05
724460,3947,1980,1,2,27.4,24,23.9,24,1019.3,24,981,24,0.7,24,7.2,24,11.1,999.9,33.1,25,0.00D,999.9,1e+05
724460,3947,1980,1,3,27,24,20,24,1025.2,24,986.7,24,5.9,24,9.6,24,17.1,999.9,30.9*,23.9,0.00D,999.9,101000
724460,3947,1980,1,4,30.4,24,21.7,24,1022.3,24,984,24,5.8,24,7.1,24,13,999.9,32,24.1,0.00D,999.9,1000
724460,3947,1980,1,5,28.6,24,19.2,24,1021.5,24,983.2,24,8,24,7.6,24,11.1,999.9,36.0*,20.8,0.00D,999.9,0
724460,3947,1980,1,6,31.5,24,24.3,24,1009.3,24,971.5,24,5.3,24,15.3,24,24.1,30.9,37,21,0.00H,999.9,111000
724460,3947,1980,1,7,15.6,24,-0.2,24,1018.3,24,979.7,24,18.4,24,16,24,34,44.9,21.9*,9,0.04G,999.9,0
724460,3947,1980,1,8,18.6,24,5.1,24,1025.4,24,986.4,24,14.6,24,7.3,24,14,999.9,26.1*,9,0.00G,999.9,0
724460,3947,1980,1,9,16.1,24,3,24,1029.2,24,990.1,24,13.5,24,9.9,24,14,999.9,26.1,9.9,0.00D,999.9,0
724460,3947,1980,1,10,32.7,24,21.1,24,1013.1,24,975,24,9.7,24,17.8,24,30.1,38.9,51.1*,10,0.00D,999.9,0
724460,3947,1980,1,11,39.4,24,21.6,24,1009.9,24,972.7,24,11.7,24,21.2,24,28,41,54,19.899999999999999,0.00D,999.9,0
724460,3947,1980,1,12,26.8,24,4.5,24,1028.3,24,989.7,24,15.6,24,10,24,20,25.8,54,12,0.00C,999.9,0
724460,3947,1980,1,13,41.2,24,10.1,24,1011.4,24,973.9,24,17.4,24,17,24,26,32.8,51.1*,37.0*,0.00D,999.9,0
724460,3947,1980,1,14,39.5,24,21.8,24,1015,24,977.5,24,11.6,24,6.3,24,13,999.9,57.9*,25.9,0.00C,999.9,0
724460,3947,1980,1,15,53.6,24,37.2,24,1011,24,974,24,9.2,24,12.3,24,21,999.9,57.9,50.0*,0.00D,999.9,10000
724460,3947,1980,1,16,46.7,24,42.6,24,1007.5,24,970.7,24,3.3,24,13.8,24,19,23.9,57.9,37.0*,0.39G,999.9,110000
724460,3947,1980,1,17,34.7,24,26.2,24,1018,24,980.3,24,11.3,24,8.2,24,18.1,999.9,55,23.9,0.01G,999.9,0
724460,3947,1980,1,18,35,24,24.8,24,1021.5,24,983.4,24,10.7,24,5.4,24,8.9,999.9,50.0*,23.9,0.00G,999.9,1e+05
724460,3947,1980,1,19,38.2,24,32.2,24,1027.2,24,989.2,24,3.3,24,9.6,24,15,999.9,50,24.1,0.75G,999.9,110000
724460,3947,1980,1,20,30.3,24,21.5,24,1033.9,24,995.3,24,7.1,24,9.5,24,14,999.9,39.9,25.9,0.43G,999.9,110000
724460,3947,1980,1,21,32.8,24,24.1,24,1023.6,24,985.4,24,6.7,24,6.4,24,14,999.9,39.0*,26.1,0.08G,999.9,111000
724460,3947,1980,1,22,33.3,24,22.1,24,1016.4,24,978.6,24,15,24,12.4,24,20,28,39,30,0.00D,999.9,0
724460,3947,1980,1,23,27.8,24,15.6,24,1016.4,24,978.4,24,16.4,24,8.4,24,12,999.9,37.9*,20.8,0.00D,999.9,0
724460,3947,1980,1,24,40.8,24,27.2,24,1004.3,24,967,24,15.8,24,11.3,24,15.9,999.9,53.1*,21,0.00D,999.9,0
724460,3947,1980,1,25,38.2,24,28.2,24,1007.5,24,970.3,24,17.2,24,9.2,24,18.1,23.9,54,28.9,0.12C,999.9,0
724460,3947,1980,1,26,23.4,24,12.6,24,1021.6,24,983.4,24,7.6,24,14.3,24,19,23.9,44.1,15.1*,0.04G,999.9,1000
724460,3947,1980,1,27,14.1,24,3.3,24,1027.4,24,988.3,24,9.1,24,10.3,24,13,17.9,27,10.9,0.04G,2,1000
724460,3947,1980,1,28,14.2,24,1.7,24,1028.5,24,989.3,24,14,24,7.6,24,10.1,999.9,18.0*,10.9,0.02G,1.2,1000
724460,3947,1980,1,29,12.9,24,-0.4,24,1032.4,24,993,24,18.1,24,6.4,24,11.1,999.9,18,7,0.00G,1.2,0
724460,3947,1980,1,30,17,24,8.6,24,1028,24,989,24,3.8,24,11.2,24,15,999.9,18,7,0.20G,3.9,1000
724460,3947,1980,1,31,4.1,24,-5.8,24,1038.3,24,998.4,24,11,24,7.6,24,15,999.9,18,-8,0.02G,3.9,1000
724460,3947,1980,2,1,5.9,24,-5.3,24,1037.7,24,997.6,24,9.1,24,5.8,24,10.1,999.9,19.0*,-8,0.00G,2.8,0
724460,3947,1980,2,2,23,24,11.7,24,1026.4,24,987.3,24,8.8,24,9.4,24,13,999.9,33.1*,15.1*,0.00D,2.8,101000
724460,3947,1980,2,3,26.8,24,18.7,24,1027.5,24,989,24,3.9,24,7,24,10.1,999.9,34,14,0.04G,3.9,111000
724460,3947,1980,2,4,22,24,12.8,24,1028.6,24,989.7,24,9,24,10.2,24,14,999.9,30,18.899999999999999,0.04D,2.8,1000
724460,3947,1980,2,5,29.5,24,22.8,24,1020.9,24,982.6,24,3.5,24,13.9,24,25.1,30.9,32,19,0.31G,6.7,101000
724460,3947,1980,2,6,23.1,24,12.6,24,1025.8,24,987.3,24,10.1,24,11.9,24,22,22.9,33.1,19.899999999999999,0.00G,999.9,1000
724460,3947,1980,2,7,15.2,24,9.1,24,1029.5,24,990.3,24,5,24,6.3,24,12,999.9,26.1,5,0.00H,4.7,101000
724460,3947,1980,2,8,23.8,24,17.1,24,1031.1,24,992.2,24,1.8,24,12.3,24,15.9,999.9,26.1*,21.9*,0.47D,8.7,101000
724460,3947,1980,2,9,17.6,24,10.2,24,1029.8,24,990.7,24,3.7,24,6.8,24,12,999.9,26.1,10.9,0.00C,7.9,101000
724460,3947,1980,2,10,10.6,24,3.2,24,1022.3,24,983.1,24,4,24,8.4,24,12,999.9,23.0*,0.9,0.00C,6.7,1e+05
724460,3947,1980,2,11,18.3,24,7.8,24,1019.3,24,980.6,24,9.8,24,11.4,24,18.1,999.9,23,1,0.00D,6.7,0
724460,3947,1980,2,12,9.8,24,-0.2,24,1025.4,24,986.2,24,16.5,24,8.6,24,14,999.9,25.0*,-8.1,0.00D,5.9,0
724460,3947,1980,2,13,27.9,24,16.4,24,1018.7,24,980.2,24,13.1,24,12.8,24,18.1,999.9,37.0*,19.0*,0.00D,5.1,0
724460,3947,1980,2,14,35.1,24,28.4,24,1020.9,24,982.9,24,4.3,24,7.6,24,12,999.9,37,19.899999999999999,0.00C,3.9,110000
724460,3947,1980,2,15,29.2,24,24.2,24,1018.1,24,980.1,24,1,24,12.9,24,20,25.8,37,23.0*,0.47G,2,111000
724460,3947,1980,2,16,13.3,24,2.2,24,1027.8,24,988.8,24,16.2,24,13.7,24,20,23.9,33.1,5.9,0.04G,2.8,1000
724460,3947,1980,2,17,11.3,24,0.5,24,1025.6,24,986.3,24,15.3,24,7.8,24,12,999.9,24.1*,1.9,0.00G,2.8,0
724460,3947,1980,2,18,25.1,24,12.3,24,1014.5,24,976.2,24,15.9,24,15.2,24,24.1,28,37.9*,1.9,0.00D,2.8,0
724460,3947,1980,2,19,37.2,24,24.5,24,1005.3,24,967.9,24,10.9,24,12.2,24,20,25.8,41.0*,35.1*,0.00D,2,0
724460,3947,1980,2,20,36.4,24,32.1,24,1006.2,24,968.8,24,1.8,24,5.9,24,11.1,999.9,41,34,0.00D,999.9,110000
724460,3947,1980,2,21,40.3,24,35.7,24,999.4,24,962.4,24,3.2,24,12.5,24,15.9,19.8,46,34,0.02G,999.9,110010
724460,3947,1980,2,22,39,24,33,24,1008.9,24,971.5,24,3.6,24,9.4,24,15,999.9,46,36,0.01G,999.9,110000
724460,3947,1980,2,23,37.9,24,31,24,1018.1,24,980.4,24,5.8,24,8.2,24,14,999.9,44.1,35.1*,0.00G,999.9,110000
724460,3947,1980,2,24,34.9,24,25.2,24,1024.1,24,986,24,9.9,24,6.5,24,10.1,999.9,50.0*,27,0.00D,999.9,1e+05
724460,3947,1980,2,25,30.6,24,14.6,24,1026.7,24,988.4,24,13.2,24,18.2,24,32.1,38.9,51.1,19.899999999999999,0.00D,999.9,1000
724460,3947,1980,2,26,22.7,24,8,24,1031.1,24,992.1,24,16.1,24,10.7,24,19,26.8,43.0*,11.8,0.00D,999.9,0
724460,3947,1980,2,27,39.1,24,26,24,1020,24,982.1,24,16,24,7.7,24,13,999.9,55.0*,30.0*,0.00D,999.9,0
724460,3947,1980,2,28,43.8,24,30.9,24,1012,24,974.8,24,13.3,24,11,24,18.1,22.9,55,30,0.00D,999.9,0
724460,3947,1980,2,29,21.9,24,8.4,24,1027.5,24,988.9,24,13.4,24,15.5,24,20,28,33.1*,12.9*,0.00D,999.9,1000
724460,3947,1980,3,1,11,24,-0.6,24,1038.6,24,998.9,24,7.2,24,15.6,24,20,29.9,26.1,5.9,0.16G,2.8,1000
724460,3947,1980,3,2,9.6,24,-4,24,1036.4,24,996.6,24,13.8,24,10,24,20,999.9,27.0*,-7.1,0.08G,2.8,1e+05
724460,3947,1980,3,3,29.7,24,12.8,24,1016.2,24,977.9,24,12.8,24,18.8,24,30.1,30.9,43.0*,24.1*,0.00G,0.8,0
724460,3947,1980,3,4,39.2,24,24.5,24,1005,24,967.7,24,10.9,24,10.5,24,18.1,25.8,48,24.1,0.00D,999.9,110000
724460,3947,1980,3,5,18.1,24,6.4,24,1020.8,24,982.3,24,11.1,24,13.7,24,19,29.9,33.1*,9,0.08G,0.8,111000
724460,3947,1980,3,6,27.3,24,12.6,24,1019.6,24,981,24,13.4,24,9.8,24,18.1,25.8,48.9*,9,0.00G,999.9,0
724460,3947,1980,3,7,34.9,24,26.4,24,1010,24,972.4,24,9.4,24,10.9,24,14,999.9,50,18,0.01G,999.9,111010
724460,3947,1980,3,8,34.9,24,28,24,1013.4,24,975.6,24,2.8,24,9.1,24,13,18.8,42.1*,30.9,0.01C,999.9,110000
724460,3947,1980,3,9,37.5,24,27,24,1016.2,24,978.4,24,7.4,24,8.4,24,18.1,19.8,57.0*,25,0.00D,999.9,1e+05
724460,3947,1980,3,10,41.8,24,29.9,24,1010.2,24,972.9,24,14.6,24,9.6,24,18.1,25.8,57,25,0.00D,999.9,0
724460,3947,1980,3,11,29.6,24,12.5,24,1020.9,24,982.8,24,16.2,24,9.2,24,15,999.9,51.1,18.899999999999999,0.00D,999.9,0
724460,3947,1980,3,12,33.3,24,23.1,24,1007.6,24,970.1,24,7.3,24,13.9,24,18.1,999.9,41,19,0.31G,0.8,11000
724460,3947,1980,3,13,31.7,24,24.6,24,1009.4,24,971.8,24,5,24,10.7,24,20,22.9,37.0*,30,0.28G,3.9,101000
724460,3947,1980,3,14,38.7,24,24.3,24,1021,24,982.9,24,15.9,24,10.9,24,18.1,999.9,62.1*,23,0.12G,999.9,0
724460,3947,1980,3,15,53.5,24,30.7,24,1016.4,24,979.3,24,14,24,18.5,24,27,35,66.0*,39.9*,0.00G,999.9,0
724460,3947,1980,3,16,56.3,24,37.5,24,1005.6,24,969.2,24,9.9,24,19.9,24,24.1,29.9,68.0*,39.9,0.00D,999.9,0
724460,3947,1980,3,17,40.1,24,24.2,24,1017.2,24,979.7,24,10.1,24,16.3,24,25.1,30.9,48.9*,32.9,0.00D,999.9,0
724460,3947,1980,3,18,44.7,24,19.5,24,1021.4,24,983.6,24,16.7,24,14.2,24,26,29.9,64.0*,28.9,0.00C,999.9,0
724460,3947,1980,3,19,54.6,24,21.8,24,1011.9,24,975.1,24,15.5,24,19.7,24,28,35.9,69.1*,44.1*,0.00C,999.9,0
724460,3947,1980,3,20,50.2,24,32.6,24,1009.7,24,973,24,12.4,24,13.5,24,20,22,69.099999999999994,42.1,0.00H,999.9,110000
724460,3947,1980,3,21,40.8,24,21.9,24,1020.2,24,982.5,24,14.7,24,10.2,24,15,16.9,55,29.8,0.20G,999.9,0
724460,3947,1980,3,22,45.8,24,22.6,24,1017,24,979.5,24,15.6,24,10.3,24,20,24.9,63.0*,30,0.00G,999.9,0
724460,3947,1980,3,23,48.9,24,30.9,24,1010,24,973.1,24,13.3,24,10.4,24,14,999.9,64,34,0.00D,999.9,0
724460,3947,1980,3,24,37,24,30.8,24,1008.7,24,971.3,24,5.1,24,16.4,24,22,29.9,55.9,34,0.71G,999.9,111000
724460,3947,1980,3,25,35.5,24,26.1,24,1020.9,24,982.9,24,8.1,24,5.9,24,10.1,999.9,39,33.1,0.04G,999.9,0
724460,3947,1980,3,26,39.6,24,29.9,24,1019.5,24,981.7,24,6.7,24,10.3,24,15.9,999.9,46.0*,33.1,0.00G,999.9,0
724460,3947,1980,3,27,46.7,24,38.5,24,1018,24,980.6,24,5,24,6.1,24,15,999.9,53.1*,35.1,0.00H,999.9,110000
724460,3947,1980,3,28,48.4,24,42.6,24,1011.6,24,974.5,24,3.7,24,11.8,24,18.1,999.9,53.1,42.1,0.31G,999.9,110000
724460,3947,1980,3,29,46.2,24,42.2,24,1011.3,24,974.2,24,2,24,13.5,24,22.9,999.9,51.1,45,0.24G,999.9,110000
724460,3947,1980,3,30,42.2,24,37.3,24,1003.1,24,966.2,24,3.1,24,15.4,24,20,26.8,46.9,39.0*,1.46G,999.9,110000
724460,3947,1980,3,31,43.7,24,33,24,1012.2,24,974.9,24,6.2,24,8.3,24,17.1,17.9,55.9*,36.9,0.16G,999.9,110000
724460,3947,1980,4,1,49.6,24,35,24,1010.5,24,973.5,24,9.9,24,15.5,24,26,35.9,59.0*,37,0.04G,999.9,10000
724460,3947,1980,4,2,45.4,24,37.4,24,1015.7,24,978.5,24,6.5,24,9.3,24,15.9,999.9,60.1,41,0.00D,999.9,110010
