STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722970,23129,1980,1,1,60,23,52.2,23,1017.8,22,1016.6,8,10.3,22,4,23,10.9,999.9,71.1*,45.9,0.00D,999.9,1e+05
722970,23129,1980,1,2,60,24,42.7,24,1015.9,23,1014.5,8,14.8,24,4.7,24,8.9,999.9,79.0*,45,0.00D,999.9,1e+05
722970,23129,1980,1,3,59.6,24,32.3,24,1017.4,24,1016,8,20.7,24,3.8,24,9.9,999.9,79.900000000000006,46.9,0.00D,999.9,0
722970,23129,1980,1,4,55.1,23,36.3,22,1017.8,23,1016.5,8,10.7,23,2.4,23,8,999.9,74.8,41.9,0.00D,999.9,0
722970,23129,1980,1,5,55.3,24,42.7,24,1017,24,1015.5,8,6.9,24,4,24,10.1,999.9,70,43,0.00D,999.9,1e+05
722970,23129,1980,1,6,57.6,24,48,24,1017,23,1015.6,8,4.2,24,3.4,24,11.8,999.9,70,50,0.00D,999.9,1e+05
722970,23129,1980,1,7,56.4,23,50.9,22,1015.9,23,1014.6,8,4.2,23,4.5,23,8,999.9,66.900000000000006,52.0*,0.04G,999.9,110000
722970,23129,1980,1,8,59.1,23,52.7,23,1015.9,23,1014.3,8,10.1,23,4,23,10.1,999.9,64.0*,55.9,0.24G,999.9,110000
722970,23129,1980,1,9,59.4,24,54.1,23,1011.4,23,1010.2,8,10.1,24,7.7,24,17.9,28,63.9,56.8,1.42G,999.9,110000
722970,23129,1980,1,10,59.7,23,54,23,1012.1,23,1010.4,8,14,23,6.1,23,10.1,999.9,63.0*,56.8,2.44G,999.9,10000
722970,23129,1980,1,11,60.4,24,55.4,24,1015,24,1013.6,8,7.5,24,6.3,24,9.9,999.9,66.9*,55.9,0.43G,999.9,110000
722970,23129,1980,1,12,61.8,22,57.8,22,1019.7,22,1018.3,8,4,22,7.8,22,12,999.9,68,59.9,0.91G,999.9,110000
722970,23129,1980,1,13,61.3,24,57.7,24,1019.4,24,1018.1,8,2.8,24,4.9,24,8.9,999.9,63.9,59,0.51G,999.9,110000
722970,23129,1980,1,14,61.9,24,57.7,24,1017.6,24,1016.2,8,5.7,24,6.8,24,10.9,999.9,64.0*,59.9,0.12G,999.9,110000
722970,23129,1980,1,15,60,22,54.3,22,1020,22,1018.5,8,8.4,22,3.7,21,8.9,999.9,66.0*,52,0.00G,999.9,1e+05
722970,23129,1980,1,16,59.7,23,52.3,23,1021.3,23,1019.8,8,9.7,23,4.1,23,8,999.9,66.900000000000006,56.8,0.00C,999.9,110000
722970,23129,1980,1,17,59.4,22,53.6,22,1019,22,1017.8,8,8.8,22,5.2,22,9.9,999.9,63.0*,54.9,0.00C,999.9,110000
722970,23129,1980,1,18,58.2,23,45.8,23,1012.7,23,1011.5,8,15,23,10.5,23,15.9,21,63,54,0.00C,999.9,10000
722970,23129,1980,1,19,51.8,23,34,23,1013.4,23,1012,8,19.9,22,6,23,19,999.9,61,39.9,0.00D,999.9,0
722970,23129,1980,1,20,52.5,24,36.1,24,1020.9,24,1019.5,8,17.6,24,3.7,24,8,999.9,66.9*,39.9,0.00D,999.9,0
