STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
723270,13897,1980,1,1,38.1,24,33.9,24,1015.6,24,993.3,24,4.5,24,7,24,10.1,999.9,41,35.1*,0.08G,999.9,110000
723270,13897,1980,1,2,35.4,24,29,24,1018.2,24,995.8,24,8.8,24,3.9,24,7,999.9,54.0*,23.9,0.01G,999.9,1e+05
723270,13897,1980,1,3,37.6,24,34,24,1020,24,997.6,24,3.5,24,5.9,24,8,999.9,54,24.1,0.00G,999.9,110000
723270,13897,1980,1,4,36.3,24,34.8,24,1015.7,24,993.4,24,3.4,24,7.8,24,12,999.9,41,34,0.55G,999.9,110000
723270,13897,1980,1,5,32.6,24,26.1,24,1020.3,24,997.8,24,8.7,24,10.2,24,13,999.9,37.9,30.0*,0.01G,999.9,101000
723270,13897,1980,1,6,32.2,24,24.1,24,1022.3,24,999.8,24,13.4,24,7.3,24,15.9,22,46.0*,20.8,0.00G,999.9,0
723270,13897,1980,1,7,40.4,24,32,24,1014.7,24,992.5,24,10.2,24,12.4,24,22.9,30.9,46,21,0.47G,999.9,111000
723270,13897,1980,1,8,33,24,22.1,24,1023,24,1000.5,24,15.1,24,8.3,24,13,999.9,46,27.9,0.24G,999.9,0
723270,13897,1980,1,9,36.1,24,24.6,24,1025,24,1002.4,24,12.1,24,5.9,24,8.9,999.9,45.0*,28,0.00G,999.9,0
723270,13897,1980,1,10,39.5,24,34.1,24,1025.5,24,1003.1,24,8.5,24,7.4,24,15.9,24.9,57.0*,27,0.00G,999.9,110000
723270,13897,1980,1,11,52.8,24,49,24,1014.3,24,992.4,24,8.2,24,16,24,22,35.9,57.9*,43.0*,0.35G,999.9,110000
723270,13897,1980,1,12,33.8,24,15.7,24,1029.9,24,1007.4,24,19.9,24,7.6,24,11.1,17.9,42.1*,28.9,0.01G,999.9,0
723270,13897,1980,1,13,39.5,24,24.9,24,1022.2,24,999.8,24,19.5,24,6,24,14,999.9,55.0*,28.9,0.00G,999.9,10000
723270,13897,1980,1,14,45,24,41.4,24,1018.8,24,996.7,24,5.3,24,5.1,24,10.1,999.9,57,30,0.08G,999.9,110000
723270,13897,1980,1,15,47.1,24,42.9,24,1023.1,24,1000.9,24,6.7,24,5.6,24,9.9,999.9,54.0*,41,0.00C,999.9,1e+05
723270,13897,1980,1,16,50.4,24,45.5,24,1020,24,997.9,24,10.1,24,8.6,24,17.1,999.9,57.9*,42.1,0.04G,999.9,10000
723270,13897,1980,1,17,54.9,24,52.2,24,1017.7,24,995.8,24,9.2,24,8.6,24,15,22,60.1*,46,0.16G,999.9,110000
723270,13897,1980,1,18,50.8,24,42.9,24,1019.5,24,997.4,24,9.2,24,5.8,24,10.1,999.9,62.1,43,0.20G,999.9,110000
723270,13897,1980,1,19,44.4,24,33,24,1026.7,24,1004.4,24,12.3,24,3.5,24,6,999.9,60.1,28.9,0.00G,999.9,1e+05
723270,13897,1980,1,20,49.2,24,32.3,24,1027.1,24,1005,24,12.9,24,5.8,24,11.1,999.9,62.1,28.9,0.00D,999.9,0
723270,13897,1980,1,21,39.8,24,34.2,24,1024.1,24,1001.9,24,6.8,24,4.2,24,8,999.9,57.9,32.9,0.00D,999.9,110000
723270,13897,1980,1,22,43.8,24,40.8,24,1012.8,24,990.8,24,3.7,24,6,24,12,999.9,46.9,33.1,0.16G,999.9,110000
723270,13897,1980,1,23,34,24,20.6,24,1011.9,24,989.8,24,15.3,24,12,24,15.9,21,46.9,25,0.43G,999.9,0
723270,13897,1980,1,24,39.8,24,24,24,1009.9,24,987.7,24,19.9,24,11.6,24,20,28.9,62.1*,25,0.00G,999.9,0
723270,13897,1980,1,25,51.3,24,33.8,24,1006.3,24,984.6,24,19.7,24,9.3,24,13,999.9,62.1,46.9*,0.00D,999.9,0
723270,13897,1980,1,26,45,24,32.5,24,1014.6,24,992.6,24,14.2,24,6.9,24,10.1,999.9,57.9,39.9,0.00G,999.9,0
723270,13897,1980,1,27,39.4,24,29,24,1017.6,24,995.5,24,7.5,24,8.4,24,11.1,999.9,51.1,34.9,0.00G,999.9,111000
723270,13897,1980,1,28,32.6,24,23.2,24,1023.3,24,1000.8,24,6.4,24,6.1,24,8,999.9,42.1,29.8,0.00G,999.9,0
723270,13897,1980,1,29,28.4,24,15.7,24,1027.7,24,1005,24,9.4,24,8.4,24,12,999.9,35.1,25,0.00D,999.9,1000
723270,13897,1980,1,30,26.6,24,17.5,24,1026.2,24,1003.5,24,7.2,24,6.6,24,11.8,999.9,30.9,23,0.08G,999.9,111000
723270,13897,1980,1,31,24.6,24,18.4,24,1026.3,24,1003.5,24,6.4,24,11.4,24,15.9,999.9,28.9,20.8,0.08G,999.9,111000
723270,13897,1980,2,1,18.6,24,10.2,24,1033.6,24,1010.4,24,10.5,24,10,24,15,999.9,28.9,11.8,0.00G,999.9,1000
