STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
722780,23183,1980,1,1,55.2,24,31.1,24,1017.2,24,978,24,26.8,24,4.1,24,8,999.9,69.099999999999994,41,0.00D,999.9,0
722780,23183,1980,1,2,54.4,24,34,24,1015.5,24,976.3,24,27.8,24,3.5,24,5.1,999.9,69.1*,41.9,0.00G,999.9,0
722780,23183,1980,1,3,56,24,22.8,24,1019.1,24,979.7,24,38.9,24,5.1,24,10.1,999.9,70,42.1,0.00G,999.9,0
722780,23183,1980,1,4,54,24,23.4,24,1018.7,24,979.3,24,37.7,24,3.6,24,7,999.9,70.0*,41,0.00G,999.9,0
722780,23183,1980,1,5,52.5,24,23.5,24,1018,24,978.5,24,34.2,24,3.9,24,8,999.9,70,38.8,0.00G,999.9,0
722780,23183,1980,1,6,53,24,25.1,24,1016,24,976.7,24,21.5,24,4.2,24,6,999.9,70,39,0.00G,999.9,0
722780,23183,1980,1,7,56.4,24,26,24,1013.3,24,974.2,24,21.9,24,4.9,24,8,999.9,66.900000000000006,44.1,0.00G,999.9,10000
722780,23183,1980,1,8,58.1,24,37.6,24,1014.9,24,975.8,24,29.6,24,4.9,24,7,999.9,66.9*,48.9,0.02G,999.9,10000
722780,23183,1980,1,9,56.2,24,41.3,24,1014.6,24,975.4,24,30.2,24,5.2,24,11.1,999.9,66.900000000000006,50,0.00G,999.9,10000
722780,23183,1980,1,10,57.1,24,51.1,24,1012,24,972.9,24,24.6,24,6.2,24,10.1,999.9,62.1*,52,0.31G,999.9,110000
722780,23183,1980,1,11,57.7,24,52.5,24,1017,24,977.8,24,20.8,24,4.7,24,7,999.9,62.1,54,0.24G,999.9,10000
722780,23183,1980,1,12,59.8,24,53.3,24,1020.2,24,981,24,30.7,24,4.9,24,7,999.9,66.9*,54.9,0.01G,999.9,0
722780,23183,1980,1,13,62.7,24,54.3,24,1017.9,24,978.8,24,27.4,24,4.3,24,8,999.9,72.0*,55,0.00G,999.9,0
722780,23183,1980,1,14,61.7,24,54,24,1015.3,24,976.3,24,25.2,24,3.9,24,6,999.9,73,54.9,0.00G,999.9,10000
722780,23183,1980,1,15,59.3,24,52.1,24,1016.5,24,977.4,24,23.2,24,4.1,24,7,999.9,66.9*,50,0.04G,999.9,10000
722780,23183,1980,1,16,56.9,24,46.3,24,1017.8,24,978.6,24,24.9,24,3.6,24,6,999.9,68.0*,45.9,0.00G,999.9,0
722780,23183,1980,1,17,56.6,24,44.2,24,1016.4,24,977.2,24,20.7,24,3.6,24,6,999.9,69.099999999999994,45,0.00G,999.9,0
722780,23183,1980,1,18,59.3,24,48.9,24,1010.1,24,971.3,24,28.4,24,6,24,16.9,28.9,66.900000000000006,45,0.00G,999.9,10000
722780,23183,1980,1,19,50.3,24,43.1,24,1012.7,24,973.5,24,27.4,24,6,24,22,34,64.900000000000006,45.9,0.51G,999.9,10010
722780,23183,1980,1,20,49.5,24,42.2,24,1018.8,24,979.2,24,34.2,24,4.6,24,7,999.9,62.1*,41,0.02G,999.9,0
722780,23183,1980,1,21,54.9,24,45.1,24,1014.5,24,975.3,24,33.2,24,4.9,24,8.9,999.9,63,41,0.08G,999.9,10010
722780,23183,1980,1,22,49.1,24,46,24,1018.5,24,978.9,24,6.7,24,4.1,24,10.1,999.9,61.0*,43,0.28G,999.9,110000
722780,23183,1980,1,23,53.5,24,35.9,24,1024.5,24,984.8,24,38.8,24,5.8,24,11.1,999.9,64.9*,43,0.00G,999.9,0
722780,23183,1980,1,24,53,24,30.4,24,1017.8,24,978.4,24,41.8,24,4.2,24,6,999.9,66.9*,37.9,0.00D,999.9,0
722780,23183,1980,1,25,51.8,24,34.5,24,1009.2,24,970.2,24,29,24,5.1,24,10.1,999.9,66.900000000000006,37.9,0.00G,999.9,0
722780,23183,1980,1,26,53,24,35.1,24,1010.4,24,971.3,24,38.9,24,5.1,24,8.9,999.9,68.0*,39.9,0.00G,999.9,0
722780,23183,1980,1,27,54.7,24,36.1,24,1012.4,24,973.3,24,45.4,24,5.2,24,8,999.9,69.1*,39.9,0.00G,999.9,0
722780,23183,1980,1,28,57.6,24,40,24,1011.4,24,972.4,24,35.6,24,5.2,24,8.9,15.9,69.099999999999994,43,0.00G,999.9,0
722780,23183,1980,1,29,56.8,24,43,24,1010.8,24,971.9,24,32.5,24,5.6,24,8,999.9,64,51.1,0.00G,999.9,10000
722780,23183,1980,1,30,59.6,24,53.1,24,1014.3,24,975.2,24,18.9,24,4.6,24,7,999.9,66.0*,53.1,0.20G,999.9,110000
722780,23183,1980,1,31,62.2,24,51.8,24,1019.6,24,980.4,24,38.3,24,3.6,24,8.9,999.9,75.0*,52,0.04G,999.9,0
722780,23183,1980,2,1,63.7,24,49.8,24,1019.6,24,980.6,24,32.9,24,3.5,24,5.1,999.9,75,52,0.00G,999.9,0
722780,23183,1980,2,2,62.8,24,42.5,24,1020.4,24,981.3,24,49.5,24,3.8,24,8,999.9,77.0*,50,0.00G,999.9,0
722780,23183,1980,2,3,62.1,24,39.2,24,1021,24,981.8,24,47.4,24,4.4,24,7,999.9,78.1*,48.9,0.00G,999.9,0
722780,23183,1980,2,4,61.7,24,40.7,24,1018,24,978.9,24,30,24,3.5,24,6,999.9,79,48.9,0.00D,999.9,0
722780,23183,1980,2,5,62.1,24,42,24,1018.5,24,979.4,24,32.7,24,3.3,24,6,999.9,79.0*,48.9,0.00G,999.9,0
722780,23183,1980,2,6,64.2,24,41.2,24,1015.4,24,976.5,24,27.5,24,3.7,24,7,999.9,80.099999999999994,50,0.00G,999.9,0
