STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
725720,24127,1980,1,1,34.1,24,30.5,24,1023.8,24,876.1,24,1.4,24,3.4,24,7,999.9,37.9*,32.0*,0.12G,999.9,111000
725720,24127,1980,1,2,34,24,32.1,24,1024.9,24,877.3,24,0.7,24,3.6,24,7,999.9,38.799999999999997,30.9,0.08G,0.8,101000
725720,24127,1980,1,3,31.3,24,28.5,24,1025,24,877,24,4.6,24,6.1,24,10.1,999.9,37.9,23,0.00G,999.9,101000
725720,24127,1980,1,4,34.5,24,29.3,23,1021.1,23,874,23,4.7,24,3.2,24,6,999.9,45.0*,27,0.00D,999.9,101000
725720,24127,1980,1,5,37.7,24,26.5,24,1016.8,24,870.6,24,8.5,24,6.5,24,22.9,28,55.9*,28.9,0.00D,999.9,0
725720,24127,1980,1,6,38.9,24,18.3,24,1013.2,24,868.3,24,34.7,24,11.1,24,24.9,35,55.9,23.9,0.00D,999.9,1000
725720,24127,1980,1,7,30.3,24,17.7,24,1014,24,867.3,24,29.8,24,3.8,24,8,999.9,48.9,23.9,0.00D,999.9,0
725720,24127,1980,1,8,34.8,24,27.1,24,1009.4,24,864.1,24,11.2,24,5.1,24,8.9,999.9,39.9,33.1*,0.04D,3.9,101000
725720,24127,1980,1,9,40.4,24,31.7,24,1007.5,24,863,24,25.1,24,14.6,24,25.1,34,45.0*,33.1*,0.31G,2.8,110000
725720,24127,1980,1,10,42.1,24,32,24,995,24,852.9,24,23.9,24,23.6,24,39.8,58.9,46.9*,33.1*,0.01G,999.9,11010
725720,24127,1980,1,11,27.2,24,13.7,24,1018.2,24,870.9,24,24.4,24,8.7,24,18.1,26.8,46.9,20.8,0.12G,999.9,1000
725720,24127,1980,1,12,41.4,24,35.1,24,1010.4,24,865.2,24,21.7,24,16.8,24,30.1,39.8,54.0*,27.9,0.01G,999.9,11000
725720,24127,1980,1,13,50.7,24,41.1,24,1008.8,24,865.7,24,25.3,24,11.3,24,28,999.9,57.0*,46.9*,0.00G,999.9,10000
725720,24127,1980,1,14,47.7,24,41,24,1008,24,864.9,24,22.9,24,14.7,24,27,35.9,55.9*,36.9,0.47G,999.9,10000
725720,24127,1980,1,15,41.5,24,36,24,1016,24,870.8,24,23.6,24,8.5,24,15.9,999.9,54.9,36,0.55G,999.9,10000
725720,24127,1980,1,16,40.5,24,36.3,24,1018.9,24,873.1,24,9.8,24,6.7,24,10.1,999.9,48.0*,36.0*,0.12G,999.9,110000
725720,24127,1980,1,17,43.2,24,36.7,24,1014.6,24,869.6,24,15.7,24,6.7,24,10.1,999.9,50.0*,38.799999999999997,0.04G,999.9,10000
725720,24127,1980,1,18,40.9,24,36.3,24,1007.3,24,863.4,24,13.7,24,5.9,24,12,999.9,50.9,37.9,0.00G,999.9,10000
725720,24127,1980,1,19,35.2,24,22.2,24,1016.6,24,870.6,24,25.9,24,8.6,24,21,999.9,43,28.9,0.04G,999.9,10000
725720,24127,1980,1,20,30.8,24,20.7,24,1028.7,24,880.1,24,23.4,24,5.6,24,10.1,999.9,41,25,0.00G,999.9,0
725720,24127,1980,1,21,31.2,24,24.1,24,1029.2,24,880.4,24,8.8,24,5.9,24,12.8,999.9,37.9*,28.0*,0.00D,999.9,0
725720,24127,1980,1,22,30,24,23.7,24,1030.7,24,881.6,24,6.8,24,5.2,24,10.1,999.9,37.9,23.9,0.00D,999.9,1e+05
725720,24127,1980,1,23,29.7,24,23.6,24,1034.5,24,884.7,24,4.9,24,4.8,24,8,999.9,37.0*,23,0.00D,999.9,0
725720,24127,1980,1,24,31.4,24,25.5,24,1028.2,24,879.5,24,3.3,24,5,24,8.9,999.9,42.1*,25,0.00D,999.9,1e+05
725720,24127,1980,1,25,33.4,24,27,24,1011.8,24,865.9,24,7.2,24,5.6,24,11.8,15.9,43.0*,25.9,0.00D,999.9,101000
725720,24127,1980,1,26,31,24,22.4,24,1008.1,24,862.7,24,26.2,24,5.3,24,8,999.9,43,23,0.00D,999.9,0
725720,24127,1980,1,27,29.1,24,22.9,24,1006.4,24,860.8,24,16.3,24,8.4,24,17.1,999.9,37.9,27,0.00D,2,1000
725720,24127,1980,1,28,19.3,24,12.9,24,1014,24,866,24,5.7,24,8,24,15,999.9,30.9,12.0*,0.31G,4.7,1000
725720,24127,1980,1,29,20.8,24,16.7,24,1008.6,24,860.9,24,1.9,24,4.3,24,14,999.9,26.1*,16,0.20G,8.7,101000
725720,24127,1980,1,30,16.3,24,12.5,24,1024.9,24,874.6,24,2.9,24,5.3,24,10.1,999.9,25.9,-2,0.31G,11.8,101000
725720,24127,1980,1,31,8.4,24,5.3,24,1036.9,24,883,24,0.9,24,3.8,24,8,999.9,21.9,-4,0.00G,8.7,101000
725720,24127,1980,2,1,16.5,24,12.2,24,1035,24,882.5,24,1,24,4.9,24,8,999.9,28.9*,2.8,0.00D,8.7,1e+05
725720,24127,1980,2,2,20.1,24,17.1,24,1034,24,882.6,24,1,24,5.3,24,13,999.9,30.0*,9.9,0.08D,999.9,101000
725720,24127,1980,2,3,23.2,24,20.5,24,1030.8,24,880.5,24,0.7,24,3.8,24,10.1,999.9,32,10.9,0.00D,6.7,101000
725720,24127,1980,2,4,28.6,24,25.6,24,1029.9,24,880.5,24,2.4,24,5.7,24,8.9,999.9,36.0*,16,0.00D,6.7,111000
725720,24127,1980,2,5,21.4,24,19.2,24,1033.7,24,882.7,24,0.7,24,3.4,24,8,999.9,36.9,9.9,0.00D,5.9,101000
725720,24127,1980,2,6,27.2,24,25.5,24,1024.5,24,875.5,24,0.3,24,4.9,24,14,999.9,35.1*,23,0.04G,5.9,111000
