STN---,WBAN,YEAR,MO,DA,TEMP,X__1,DEWP,X__2,SLP,X__3,STP,X__4,VISIB,X__5,WDSP,X__6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
727930,24233,1980,1,1,47.4,24,42.2,24,1017.3,24,1000.8,24,16.6,24,9.6,24,14,16.9,54,43.9,0.31G,999.9,110000
727930,24233,1980,1,2,45,24,39.9,24,1019.7,24,1003,24,15.5,24,7,24,14,999.9,52,42.1,0.28G,999.9,10000
727930,24233,1980,1,3,39.5,24,34.4,24,1021.1,24,1004.4,24,25.1,24,6.5,24,12,999.9,46,32.9,0.20G,999.9,0
727930,24233,1980,1,4,38.4,24,34.2,24,1018.3,24,1001.6,24,15,24,5,24,8,999.9,46,33.1,0.00G,999.9,110000
727930,24233,1980,1,5,35.9,24,33,24,1014,24,997.4,24,5.4,24,5.3,24,13,999.9,39.9,32.9,0.12G,999.9,111000
727930,24233,1980,1,6,31.3,24,24.5,24,1026,24,1009,24,28.4,24,5.4,24,14,999.9,39,25.9,0.12G,999.9,1e+05
727930,24233,1980,1,7,27.8,24,20.8,24,1019.8,24,1002.9,24,26.8,24,6.2,24,10.1,14,35.1,24.1,0.00G,999.9,101000
727930,24233,1980,1,8,28.2,24,25.6,24,1008.1,24,991.3,24,1.2,24,10.1,24,17.1,999.9,30,24.1,0.20G,4.7,111000
727930,24233,1980,1,9,27.5,24,24.9,24,1000.5,24,983.9,24,6.6,24,8.9,24,15,999.9,33.1*,25.9,0.35G,6.7,101000
727930,24233,1980,1,10,30.4,24,26.2,24,994.8,24,978.3,24,13.2,24,9.5,24,19,28.9,36.0*,26.1,0.16G,7.9,101000
727930,24233,1980,1,11,36.5,24,27.5,24,1003.5,24,986.8,24,21.4,24,9.2,24,13,999.9,39,27.9,0.01G,5.9,11000
727930,24233,1980,1,12,43.5,24,38.9,24,980.6,24,964.4,24,9.2,24,16.8,24,26,41,50,30.9,1.18G,999.9,110000
727930,24233,1980,1,13,37,24,33.5,24,998,24,981.6,24,11.2,24,7.9,24,20,26.8,50,34,0.16G,999.9,110000
727930,24233,1980,1,14,39,24,36.8,24,1000.1,24,983.7,24,5.7,23,6.8,24,12.8,16.9,39.9,34,0.08G,999.9,110000
727930,24233,1980,1,15,41.7,24,34.4,24,1012.1,24,995.5,24,24.5,24,10.7,24,15.9,999.9,44.1*,37.9,0.00G,999.9,0
727930,24233,1980,1,16,42.5,24,39.3,24,1012,24,995.4,24,6.6,24,4.8,24,8.9,999.9,45,37.9,0.31G,999.9,110000
727930,24233,1980,1,17,40,24,34.3,24,1018.8,24,1002.1,24,13,24,6.3,24,10.1,999.9,44.1,36.9,0.47G,999.9,110000
727930,24233,1980,1,18,32.7,24,25,24,1029.8,24,1012.8,24,32.7,24,7.1,24,13,999.9,43,25,0.04G,999.9,11000
